Banker,prompt_idx
48.0,45
50.0,8
100.0,6
100.0,6
35.0,16
52.0,1
69.0,10
10.0,13
69.0,10
0.0,0
40.0,28
50.0,8
0.0,0
100.0,6
75.0,40
37.0,19
109.0,36
0.0,0
50.0,8
50.0,8
2.0,35
20.0,12
20.0,12
50.0,8
3.0,26
0.0,0
3.0,26
40.0,28
50.0,8
50.0,8
75.0,40
63.0,15
100.0,6
100.0,6
100.0,6
33.0,44
85.0,42
100.0,6
120.0,18
50.0,8
50.0,8
50.0,8
70.0,7
50.0,8
75.0,40
50.0,8
45.0,46
50.0,8
50.0,8
48.0,45
2.0,20
0.0,0
19.0,24
0.0,0
67.0,10
100.0,6
130.0,25
69.0,10
50.0,8
65.0,9
100.0,6
93.0,29
40.0,28
50.0,8
100.0,6
109.0,36
75.0,40
45.0,46
109.0,36
0.0,0
0.0,0
50.0,8
100.0,6
37.0,19
101.0,47
40.0,28
6.0,23
99.0,14
52.0,1
85.0,42
75.0,40
130.0,25
35.0,16
0.0,0
40.0,28
7.0,30
75.0,40
100.0,6
40.0,28
50.0,8
33.0,11
110.0,37
125.0,4
50.0,8
100.0,6
94.0,33
20.0,12
40.0,28
50.0,8
60.0,31
125.0,3
110.0,37
100.0,6
50.0,8
57.0,21
52.0,1
100.0,6
50.0,8
50.0,8
50.0,8
52.0,1
100.0,6
100.0,6
85.0,42
2.0,35
101.0,47
0.0,0
100.0,6
50.0,8
0.0,0
0.0,0
57.0,21
120.0,18
106.0,48
70.0,7
75.0,40
50.0,8
100.0,6
120.0,18
60.0,31
50.0,8
40.0,28
19.0,24
20.0,12
79.01,27
100.0,6
0.0,0
75.0,40
48.0,45
94.0,33
100.0,6
93.0,29
100.0,6
60.0,31
0.0,0
75.0,40
50.0,8
100.0,6
100.0,6
130.0,25
50.0,8
100.0,6
0.0,0
120.0,18
100.0,6
93.0,34
48.0,45
100.0,6
79.01,27
20.0,12
100.0,6
0.0,0
40.0,28
100.0,6
0.0,0
40.0,28
10.0,13
19.0,24
94.0,33
0.0,0
60.0,31
0.0,0
69.0,10
0.0,0
125.0,4
50.0,8
69.0,10
69.0,10
120.0,18
50.0,8
50.0,8
50.0,8
50.0,8
50.0,8
85.0,42
40.0,28
20.0,12
100.0,6
75.0,40
0.0,0
6.0,23
125.0,4
94.0,33
45.0,46
70.0,7
50.0,8
50.0,8
10.0,13
50.0,8
52.0,1
100.0,6
45.0,46
50.0,8
48.0,45
2.0,35
0.0,0
2.0,35
0.0,0
3.0,26
100.0,6
0.0,0
37.0,19
50.0,8
100.0,6
100.0,6
130.0,25
99.0,14
100.0,6
2.0,20
0.0,0
50.0,8
2.0,20
75.0,40
100.0,6
0.0,0
2.0,20
75.0,40
100.0,6
100.0,6
69.0,10
33.0,44
3.0,26
50.0,8
50.0,8
100.0,6
50.0,8
94.0,33
100.0,6
93.0,29
100.0,6
60.0,31
100.0,6
0.0,0
69.0,10
50.0,8
57.0,21
93.0,29
130.0,25
70.0,7
6.0,23
