Proposer,prompt_idx
50.0,12
50.0,2
36.0,37
50.0,12
8.0,46
42.0,7
42.0,7
60.0,20
50.0,2
10.0,42
45.0,39
49.0,26
42.0,7
42.0,7
50.0,2
8.0,46
42.0,7
42.0,7
30.0,23
36.0,37
42.0,7
50.0,2
50.0,12
50.0,2
42.0,7
42.0,7
50.0,2
32.0,36
32.0,36
50.0,2
65.0,45
36.0,37
50.0,12
49.0,26
50.0,2
50.0,2
50.0,2
100.0,40
30.0,23
10.0,42
45.0,39
50.0,12
100.0,40
20.0,47
32.0,36
1.0,16
40.0,5
50.0,2
23.0,25
80.0,13
55.0,19
42.0,7
50.0,2
0.01,18
45.0,39
10.0,42
50.0,2
21.0,22
53.0,8
100.0,40
36.0,37
40.0,5
0.01,18
21.0,22
42.0,7
8.0,46
23.0,25
42.0,7
32.0,36
50.0,12
45.0,39
42.0,7
23.0,25
42.0,7
50.0,12
50.0,2
50.0,2
40.0,5
42.0,7
26.0,31
32.0,23
49.0,26
50.0,12
40.0,5
42.0,7
42.0,7
45.0,39
26.0,31
20.0,47
32.0,36
50.0,12
50.0,2
10.0,42
57.0,11
53.0,8
45.0,39
53.0,8
80.0,13
99.0,6
40.0,5
80.0,13
49.0,26
53.0,8
20.0,47
80.0,13
100.0,40
42.0,7
36.0,37
31.0,23
50.0,2
99.0,6
50.0,2
50.0,2
50.0,2
15.0,27
21.0,22
60.0,20
75.0,9
45.0,39
10.0,42
53.0,8
20.0,47
40.0,5
1.0,18
65.0,45
50.0,2
49.0,26
53.0,8
53.0,8
49.0,26
8.0,46
62.0,38
42.0,7
50.0,2
42.0,7
30.0,23
80.0,13
36.0,37
50.0,2
55.0,19
42.0,7
60.0,20
1.0,16
45.0,39
23.0,25
50.0,12
45.0,39
55.0,19
10.0,42
45.0,39
42.0,7
60.0,20
36.0,37
42.0,7
42.0,7
65.0,45
45.0,39
48.0,26
45.0,39
42.0,7
10.0,42
36.0,37
42.0,7
50.0,2
30.0,23
23.0,25
50.0,2
42.0,7
36.0,37
60.0,20
50.0,2
50.0,2
53.0,8
50.0,2
1.0,18
49.0,26
50.0,2
36.0,37
42.0,7
65.0,45
50.0,2
50.0,2
42.0,7
32.0,36
53.0,8
42.0,7
1.0,16
50.0,2
42.0,7
50.0,2
32.0,36
36.0,37
30.0,23
40.0,5
80.0,13
45.0,39
36.0,37
36.0,37
50.0,2
45.0,39
100.0,40
100.0,40
36.0,37
99.0,6
21.0,22
42.0,7
40.0,5
53.0,8
50.0,2
45.0,39
23.0,25
50.0,2
42.0,7
45.0,39
45.0,39
55.0,19
1.0,16
50.0,2
53.0,8
50.0,12
49.0,26
50.0,2
99.0,6
8.0,46
1.0,18
42.0,7
50.0,2
50.0,12
50.0,2
50.0,2
10.0,42
65.0,45
23.0,25
45.0,39
23.0,25
23.0,25
1.0,18
53.0,8
66.0,24
100.0,40
40.0,5
1.0,16
20.0,47
30.0,23
65.0,45
45.0,39
32.0,36
23.0,25
36.0,37
100.0,40
99.0,6
50.0,2
20.0,47
36.0,37
36.0,37
100.0,40
36.0,37
40.0,5
23.0,25
1.0,18
50.0,2
45.0,39
32.0,36
36.0,37
10.0,42
49.0,26
50.0,12
23.0,25
50.0,12
50.0,2
80.0,13
10.0,42
50.0,2
50.0,2
50.0,2
50.0,12
42.0,7
45.0,39
55.0,19
45.0,39
50.0,2
45.0,39
62.0,38
50.0,12
60.0,20
60.0,20
50.0,2
42.0,7
50.0,12
45.0,39
50.0,12
30.0,23
100.0,40
36.0,37
42.0,7
42.0,7
50.0,2
50.0,2
45.0,39
45.0,39
50.0,2
30.0,23
45.0,39
50.0,12
32.0,36
8.0,46
30.0,23
40.0,5
45.0,39
30.0,23
50.0,12
57.0,11
100.0,40
45.0,39
36.0,37
50.0,12
50.0,12
50.0,2
30.0,23
50.0,2
50.0,2
45.0,39
50.0,12
42.0,7
100.0,40
36.0,37
45.0,39
36.0,37
50.0,12
1.0,18
50.0,12
50.0,2
50.0,12
50.0,12
100.0,40
50.0,12
50.0,12
50.0,2
49.0,26
50.0,2
53.0,8
45.0,39
50.0,2
42.0,7
30.0,23
49.0,26
23.0,25
20.0,47
45.0,39
1.0,18
36.0,37
65.0,45
50.0,2
36.0,37
65.0,45
65.0,45
42.0,7
42.0,7
48.0,26
45.0,39
60.0,20
20.0,47
65.0,45
8.0,46
100.0,40
26.0,31
32.0,23
8.0,46
50.0,12
30.0,23
23.0,25
23.0,25
60.0,20
45.0,39
50.0,12
50.0,2
80.0,13
50.0,2
53.0,8
36.0,37
42.0,7
50.0,12
53.0,8
31.0,32
50.0,2
1.0,16
50.0,12
50.0,2
45.0,39
1.0,18
20.0,47
53.0,8
50.0,2
42.0,7
55.0,19
20.0,47
36.0,37
42.0,7
50.0,2
20.0,47
50.0,12
50.0,12
50.0,12
50.0,2
50.0,12
36.0,37
50.0,2
50.0,12
80.0,13
80.0,13
45.0,39
50.0,2
50.0,2
36.0,37
50.0,12
32.0,36
42.0,7
53.0,8
50.0,2
60.0,20
45.0,39
100.0,40
57.0,11
21.0,22
45.0,39
57.0,11
50.0,2
40.0,5
30.0,23
36.0,37
36.0,37
40.0,5
1.0,18
50.0,2
36.0,37
42.0,7
42.0,7
53.0,8
0.01,18
50.0,2
42.0,7
1.0,16
8.0,46
1.0,18
42.0,7
50.0,2
45.0,39
62.0,38
45.0,39
45.0,39
32.0,36
53.0,8
49.0,26
50.0,2
57.0,11
50.0,12
36.0,37
20.0,47
50.0,2
80.0,13
50.0,2
0.01,18
1.0,18
53.0,8
23.0,25
42.0,7
49.0,26
1.0,16
45.0,39
99.0,6
50.0,12
80.0,13
20.0,47
23.0,25
100.0,40
53.0,8
42.0,7
10.0,42
45.0,39
40.0,5
1.0,18
49.0,26
50.0,2
36.0,37
26.0,31
20.0,47
75.0,9
40.0,5
36.0,37
45.0,39
36.0,37
49.0,26
23.0,25
45.0,39
50.0,2
32.0,36
65.0,45
1.0,16
100.0,40
60.0,20
100.0,40
20.0,47
50.0,12
50.0,2
49.0,26
42.0,7
50.0,2
50.0,2
36.0,37
36.0,37
40.0,5
20.0,47
36.0,37
32.0,36
99.0,6
20.0,47
40.0,5
45.0,39
32.0,36
50.0,2
53.0,8
80.0,13
30.0,23
53.0,8
36.0,37
10.0,42
20.0,47
60.0,20
30.0,23
60.0,20
50.0,2
50.0,2
1.0,18
80.0,13
30.0,23
55.0,19
50.0,2
55.0,19
49.0,26
42.0,7
32.0,36
50.0,2
60.0,20
50.0,2
49.0,26
30.0,23
50.0,12
50.0,12
50.0,2
45.0,39
55.0,19
50.0,2
8.0,46
40.0,5
36.0,37
66.0,24
48.0,26
50.0,12
80.0,13
53.0,8
50.0,12
1.0,16
53.0,8
8.0,46
10.0,42
45.0,39
50.0,2
50.0,2
53.0,8
60.0,20
45.0,39
50.0,2
65.0,45
42.0,7
49.0,26
50.0,2
50.0,2
36.0,37
1.0,16
45.0,39
45.0,39
80.0,13
50.0,2
60.0,20
53.0,8
36.0,37
53.0,8
1.0,18
65.0,45
42.0,7
50.0,2
42.0,7
50.0,2
20.0,47
50.0,2
50.0,2
50.0,2
49.0,26
57.0,11
100.0,40
80.0,13
50.0,12
50.0,2
42.0,7
