Dictator,prompt_idx
7.0,29
50.0,2
50.0,2
0.0,3
0.0,3
30.0,1
30.0,1
99.0,33
50.0,2
7.0,29
30.0,1
55.0,23
40.0,0
0.0,3
30.0,1
40.0,0
30.0,1
50.0,2
0.0,3
40.0,0
10.0,4
0.0,3
40.0,0
40.0,0
55.0,23
0.0,3
0.0,3
0.0,3
40.0,0
30.0,1
40.0,0
40.0,0
7.0,29
0.0,3
40.0,0
30.0,1
0.0,3
40.0,0
50.0,2
0.0,3
0.0,3
0.0,3
30.0,1
0.0,3
50.0,2
0.0,3
30.0,1
7.0,29
50.0,43
55.0,23
40.0,0
50.0,2
40.0,0
40.0,0
50.0,2
51.0,31
6.0,5
50.0,2
55.0,23
6.0,5
0.0,3
7.0,29
30.0,1
30.0,1
30.0,1
0.0,3
50.0,2
40.0,0
0.0,3
7.0,29
1.0,41
6.0,5
40.0,0
5.0,36
50.0,2
0.0,3
10.0,4
50.0,2
50.0,2
40.0,0
67.0,44
50.0,7
30.0,1
30.0,1
50.0,7
40.0,0
50.0,7
40.0,0
30.0,1
50.0,2
0.0,3
30.0,1
0.0,3
30.0,1
0.0,3
0.0,3
0.0,3
30.0,1
51.0,31
50.0,7
0.0,3
40.0,0
50.0,2
10.0,4
50.0,2
50.0,2
40.0,0
50.0,7
40.0,0
40.0,0
30.0,1
0.0,3
55.0,23
50.0,2
6.0,5
0.0,3
0.0,3
0.0,3
15.0,24
50.0,2
0.0,3
30.0,1
40.0,0
30.0,1
0.0,3
30.0,1
30.0,1
40.0,0
5.0,36
50.0,7
30.0,1
40.0,0
10.0,4
0.0,3
51.0,31
30.0,1
1.0,54
10.0,4
0.0,3
50.0,2
30.0,1
50.0,2
0.0,3
3.0,39
0.0,3
10.0,4
30.0,1
50.0,7
40.0,0
30.0,1
30.0,1
0.0,3
0.0,3
50.0,43
15.0,24
30.0,1
30.0,1
7.0,29
99.0,33
0.0,3
0.0,3
10.0,4
30.0,1
1.0,54
50.0,43
40.0,0
7.0,29
40.0,0
30.0,1
30.0,1
0.0,3
30.0,1
40.0,0
0.0,3
40.0,0
1.0,54
40.0,0
30.0,1
30.0,1
0.0,3
99.0,33
7.0,29
40.0,0
50.0,43
40.0,0
0.0,3
50.0,7
40.0,0
7.0,29
55.0,23
0.0,3
50.0,7
50.0,2
50.0,2
55.0,23
0.0,3
0.0,3
40.0,0
30.0,1
30.0,1
0.0,3
40.0,0
7.0,29
7.0,29
0.0,3
40.0,0
40.0,0
7.0,29
30.0,1
40.0,0
10.0,4
0.0,3
50.0,2
0.0,3
30.0,1
30.0,1
0.0,3
30.0,1
75.0,40
0.0,3
30.0,1
10.0,4
40.0,0
50.0,2
40.0,0
55.0,23
30.0,1
0.0,3
0.0,3
40.0,0
0.0,3
40.0,0
40.0,0
0.0,3
40.0,0
0.0,3
40.0,0
5.0,36
30.0,1
40.0,0
0.0,3
0.0,3
50.0,7
10.0,4
30.0,1
50.0,7
10.0,4
50.0,2
0.0,3
75.0,40
0.0,3
30.0,1
50.0,2
40.0,0
6.0,5
50.0,7
0.0,3
50.0,7
0.0,3
0.0,3
1.0,54
0.0,3
30.0,1
40.0,0
0.0,3
0.0,3
3.0,39
0.0,3
40.0,0
40.0,0
40.0,0
50.0,2
0.0,3
30.0,1
0.0,3
50.0,2
0.0,3
0.0,3
30.0,1
50.0,2
30.0,1
10.0,4
50.0,7
50.0,2
30.0,1
50.0,7
40.0,0
30.0,1
15.0,24
3.0,39
0.0,3
30.0,1
40.0,0
0.0,3
30.0,1
50.0,7
30.0,1
0.0,3
55.0,23
5.0,36
0.0,3
75.0,40
0.0,3
15.0,24
50.0,43
0.0,3
55.0,23
67.0,44
10.0,4
0.0,3
50.0,2
50.0,7
0.0,3
51.0,31
55.0,23
0.0,3
0.0,3
40.0,0
40.0,0
6.0,5
0.0,3
0.0,3
40.0,0
0.0,3
30.0,1
30.0,1
30.0,1
0.0,3
50.0,7
10.0,4
30.0,1
30.0,1
0.0,3
30.0,1
30.0,1
50.0,2
40.0,0
30.0,1
10.0,4
50.0,2
30.0,1
50.0,2
7.0,29
0.0,3
50.0,7
7.0,29
50.0,2
40.0,0
6.0,5
30.0,1
40.0,0
0.0,3
30.0,1
0.0,3
30.0,1
0.0,3
40.0,0
5.0,36
1.0,54
40.0,0
55.0,23
50.0,7
50.0,2
40.0,0
0.0,3
40.0,0
0.0,3
0.0,3
15.0,24
0.0,3
50.0,2
0.0,3
50.0,2
50.0,2
30.0,1
0.0,3
7.0,29
0.0,3
30.0,1
40.0,0
0.0,3
0.0,3
50.0,2
30.0,1
50.0,2
40.0,0
50.0,2
7.0,29
30.0,1
40.0,0
50.0,7
7.0,29
5.0,36
0.0,3
40.0,0
0.0,3
10.0,4
50.0,2
55.0,23
0.0,3
50.0,7
40.0,0
0.0,3
0.0,3
1.0,54
0.0,3
55.0,23
40.0,0
0.0,3
75.0,40
30.0,1
50.0,7
30.0,1
50.0,2
99.0,33
30.0,1
0.0,3
0.0,3
10.0,4
0.0,3
30.0,1
0.0,3
99.0,33
0.0,3
30.0,1
40.0,0
15.0,24
0.0,3
99.0,33
40.0,0
0.0,3
40.0,0
30.0,1
10.0,4
30.0,1
0.0,3
50.0,7
40.0,0
51.0,31
50.0,2
7.0,29
55.0,23
30.0,1
50.0,2
40.0,0
40.0,0
30.0,1
40.0,0
30.0,1
0.0,3
30.0,1
40.0,0
0.0,3
40.0,0
50.0,2
30.0,1
50.0,2
30.0,1
0.0,3
50.0,7
30.0,1
30.0,1
40.0,0
6.0,5
0.0,3
40.0,0
0.0,3
30.0,1
0.0,3
0.0,3
30.0,1
30.0,1
30.0,1
40.0,0
0.0,3
50.0,2
0.0,3
0.0,3
7.0,29
0.0,3
0.0,3
7.0,29
30.0,1
30.0,1
30.0,1
30.0,1
0.0,3
99.0,33
50.0,43
51.0,31
30.0,1
0.0,3
50.0,2
0.0,3
10.0,4
40.0,0
10.0,4
0.0,3
0.0,3
30.0,1
50.0,7
6.0,5
50.0,7
40.0,0
30.0,1
75.0,40
7.0,29
50.0,2
50.0,2
30.0,1
50.0,2
50.0,7
50.0,7
55.0,23
0.0,3
0.0,3
30.0,1
30.0,1
40.0,0
99.0,33
0.0,3
30.0,1
30.0,1
0.0,3
40.0,0
0.0,3
99.0,33
30.0,1
40.0,0
50.0,43
10.0,4
10.0,4
50.0,7
40.0,0
40.0,0
30.0,1
50.0,2
49.0,47
0.0,3
40.0,0
0.0,3
0.0,3
30.0,1
6.0,5
7.0,29
0.0,3
55.0,23
0.0,3
50.0,7
1.0,54
10.0,4
0.0,3
0.0,3
0.0,3
0.0,3
51.0,31
0.0,3
50.0,2
40.0,0
99.0,33
50.0,2
50.0,2
10.0,4
40.0,0
0.0,3
30.0,1
50.0,2
30.0,1
40.0,0
0.0,3
50.0,2
7.0,29
0.0,3
5.0,36
40.0,0
40.0,0
30.0,1
40.0,0
30.0,1
0.0,3
30.0,1
10.0,4
75.0,40
50.0,7
0.0,3
7.0,29
0.0,3
0.0,3
10.0,4
15.0,24
0.0,3
0.0,3
0.0,3
50.0,2
0.0,3
40.0,0
7.0,29
0.0,3
40.0,0
40.0,0
10.0,4
50.0,2
50.0,2
55.0,23
67.0,44
40.0,0
30.0,1
40.0,0
40.0,0
30.0,1
30.0,1
40.0,0
30.0,1
30.0,1
50.0,7
50.0,7
0.0,3
0.0,3
0.0,3
10.0,4
40.0,0
0.0,3
40.0,0
55.0,23
50.0,7
30.0,1
15.0,24
0.0,3
40.0,0
6.0,5
30.0,1
40.0,0
40.0,0
40.0,0
0.0,3
0.0,3
50.0,2
50.0,2
50.0,2
30.0,1
0.0,3
67.0,44
0.0,3
30.0,1
40.0,0
50.0,43
30.0,1
7.0,29
0.0,3
15.0,24
40.0,0
0.0,3
0.0,3
6.0,5
50.0,7
30.0,1
30.0,1
40.0,0
0.0,3
30.0,1
30.0,1
50.0,2
50.0,2
0.0,3
0.0,3
30.0,1
0.0,3
30.0,1
10.0,4
50.0,2
30.0,1
0.0,3
0.0,3
40.0,0
0.0,3
0.0,3
50.0,2
49.0,47
10.0,4
0.0,3
40.0,0
6.0,5
0.0,3
0.0,3
0.0,3
0.0,3
50.0,2
55.0,23
1.0,54
30.0,1
7.0,29
30.0,1
30.0,1
0.0,3
55.0,23
0.0,3
50.0,2
30.0,1
10.0,4
10.0,4
30.0,1
99.0,33
30.0,1
7.0,29
30.0,1
40.0,0
0.0,3
0.0,3
6.0,5
30.0,1
50.0,7
40.0,0
50.0,2
30.0,1
0.0,3
40.0,0
0.0,3
7.0,29
0.0,3
40.0,0
40.0,0
7.0,29
40.0,0
67.0,44
30.0,1
0.0,3
0.0,3
0.0,3
75.0,40
0.0,3
40.0,0
0.0,3
55.0,23
0.0,3
50.0,2
0.0,3
50.0,7
1.0,54
40.0,0
40.0,0
6.0,5
40.0,0
7.0,29
40.0,0
50.0,7
0.0,3
40.0,0
0.0,3
0.0,3
40.0,0
0.0,3
30.0,1
40.0,0
0.0,3
30.0,1
0.0,3
50.0,2
40.0,0
40.0,0
0.0,3
50.0,2
40.0,0
0.0,3
0.0,3
40.0,0
0.0,3
50.0,43
40.0,0
0.0,3
15.0,24
0.0,3
30.0,1
0.0,3
0.0,3
30.0,1
0.0,3
50.0,2
40.0,0
50.0,2
50.0,2
40.0,0
40.0,0
30.0,1
30.0,1
0.0,3
30.0,1
0.0,3
50.0,7
40.0,0
40.0,0
30.0,1
40.0,0
50.0,2
0.0,3
7.0,29
40.0,0
0.0,3
6.0,5
30.0,1
50.0,7
7.0,29
0.0,3
40.0,0
6.0,5
30.0,1
1.0,41
0.0,3
50.0,7
0.0,3
49.0,47
10.0,4
0.0,3
15.0,24
40.0,0
50.0,7
30.0,1
40.0,0
30.0,1
50.0,2
75.0,40
0.0,3
50.0,2
50.0,2
30.0,1
10.0,4
0.0,3
30.0,1
50.0,7
0.0,3
0.0,3
0.0,3
40.0,0
30.0,1
7.0,29
0.0,3
0.0,3
67.0,44
15.0,24
0.0,3
55.0,23
50.0,7
50.0,2
0.0,3
40.0,0
0.0,3
40.0,0
30.0,1
30.0,1
30.0,1
40.0,0
40.0,0
0.0,3
0.0,3
5.0,36
40.0,0
50.0,2
40.0,0
0.0,3
0.0,3
10.0,4
40.0,0
50.0,2
0.0,3
50.0,7
10.0,4
15.0,24
0.0,3
7.0,29
50.0,7
0.0,3
10.0,4
40.0,0
7.0,29
99.0,33
50.0,2
30.0,1
47.0,37
0.0,3
30.0,1
0.0,3
0.0,3
0.0,3
50.0,2
0.0,3
40.0,0
99.0,33
0.0,3
55.0,23
40.0,0
3.0,39
6.0,5
50.0,2
40.0,0
0.0,3
0.0,3
30.0,1
5.0,36
0.0,3
5.0,36
5.0,36
30.0,1
7.0,29
0.0,3
0.0,3
5.0,36
40.0,0
0.0,3
0.0,3
0.0,3
40.0,0
30.0,1
40.0,0
30.0,1
40.0,0
0.0,3
40.0,0
0.0,3
40.0,0
40.0,0
30.0,1
10.0,4
30.0,1
50.0,2
0.0,3
50.0,2
30.0,1
30.0,1
5.0,36
40.0,0
30.0,1
50.0,7
0.0,3
0.0,3
55.0,23
30.0,1
30.0,1
99.0,33
0.0,3
40.0,0
6.0,5
50.0,2
50.0,2
30.0,1
30.0,1
50.0,7
55.0,23
50.0,2
0.0,3
