Banker,prompt_idx
101.0,26
75.0,8
105.0,18
40.0,2
0.0,3
50.0,0
50.0,0
40.0,2
105.0,18
75.0,8
105.0,18
40.0,2
100.0,4
75.0,8
105.0,18
0.0,42
100.0,4
10.0,6
50.0,0
50.0,0
50.0,0
75.0,8
10.0,6
130.0,1
0.0,3
50.0,0
105.0,18
19.5,35
75.0,8
0.0,19
75.0,8
90.0,33
40.0,2
3.0,14
50.0,0
100.0,11
50.0,0
50.0,0
3.0,14
50.0,0
40.0,2
130.0,1
100.0,4
0.0,3
91.0,9
50.0,0
19.5,35
100.0,4
0.0,3
100.0,11
40.0,2
100.0,4
105.0,18
40.0,2
50.0,0
60.0,5
91.0,9
75.0,8
60.0,5
91.0,9
10.0,6
75.0,8
75.0,8
90.0,33
0.0,3
51.0,53
40.0,2
60.0,5
60.0,5
100.0,4
50.0,0
40.0,2
10.0,6
10.0,6
0.0,3
10.0,6
50.0,0
100.0,4
0.0,3
0.0,3
0.0,19
40.0,2
3.0,14
50.0,0
75.0,8
60.0,5
3.0,14
130.0,1
75.0,8
100.0,4
40.0,2
75.0,8
100.0,4
0.0,3
10.0,6
100.0,4
100.0,11
101.0,26
91.0,9
0.0,19
105.0,18
40.0,2
80.0,36
10.0,6
50.0,0
50.0,0
0.0,3
100.0,4
0.0,3
100.0,4
100.0,11
50.0,0
0.0,3
100.0,4
100.0,4
130.0,1
10.0,6
60.0,5
50.0,0
91.0,9
51.0,53
50.0,0
0.0,3
40.0,2
100.0,4
0.0,3
100.0,4
60.0,5
3.0,14
100.0,11
91.0,9
130.0,1
100.0,4
40.0,2
75.0,8
100.0,4
10.0,6
75.0,8
60.0,5
100.0,4
10.0,6
10.0,6
3.0,14
100.0,11
50.0,0
90.0,33
50.0,0
75.0,8
0.0,3
90.0,33
60.0,5
50.0,0
101.0,26
75.0,8
50.0,0
130.0,1
100.0,4
50.0,0
100.0,4
75.0,8
0.0,3
100.0,4
91.0,9
50.0,0
130.0,1
75.0,8
51.0,27
0.0,3
0.0,19
0.0,3
50.0,0
40.0,2
75.0,8
75.0,8
10.0,6
105.0,18
0.0,3
125.0,43
91.0,9
3.0,14
10.0,6
0.0,3
130.0,1
100.0,4
75.0,8
105.0,18
105.0,18
0.0,19
60.0,5
19.5,35
10.0,6
130.0,1
75.0,8
100.0,4
101.0,26
50.0,0
50.0,0
100.0,11
10.0,6
10.0,6
130.0,1
75.0,8
40.0,2
10.0,6
50.0,0
101.0,26
100.0,4
10.0,6
40.0,2
50.0,0
130.0,1
75.0,8
60.0,5
50.0,0
0.0,42
0.0,19
100.0,4
75.0,8
100.0,4
125.0,44
60.0,5
3.0,14
0.0,3
40.0,2
75.0,8
0.0,3
30.0,34
100.0,4
50.0,0
10.0,6
0.0,3
100.0,4
0.0,19
75.0,8
75.0,8
105.0,18
105.0,18
50.0,0
50.0,0
100.0,4
75.0,8
0.0,3
105.0,18
0.0,3
3.0,14
3.0,14
130.0,1
100.0,4
50.0,0
19.5,35
50.0,0
100.0,4
50.0,0
50.0,0
105.0,18
105.0,18
100.0,4
100.0,4
100.0,4
50.0,0
50.0,0
10.0,6
75.0,8
10.0,6
75.0,8
3.0,14
0.0,3
100.0,4
50.0,0
10.0,6
0.0,42
0.0,3
50.0,0
10.0,6
100.0,4
100.0,4
60.0,5
50.0,0
100.0,11
10.0,6
0.0,3
23.0,23
75.0,8
80.0,36
75.0,8
10.0,6
0.0,30
130.0,1
3.0,14
91.0,9
3.0,14
40.0,2
75.0,8
10.0,6
3.0,14
130.0,1
130.0,1
40.0,2
100.0,4
60.0,5
80.0,36
101.0,26
130.0,1
150.0,52
75.0,8
100.0,4
40.0,2
100.0,4
23.0,23
3.0,14
50.0,0
40.0,2
50.0,0
100.0,11
130.0,1
100.0,4
75.0,8
91.0,9
100.0,11
50.0,0
130.0,1
130.0,1
100.0,4
3.0,14
100.0,4
50.0,0
75.0,8
105.0,18
100.0,4
80.0,36
