Dictator,prompt_idx
50.0,5
22.0,11
0.0,12
40.0,30
0.0,12
45.0,38
30.0,10
48.0,6
0.0,12
1.0,4
50.0,5
1.0,4
30.0,10
0.0,12
55.0,16
50.0,5
28.0,27
20.0,31
10.0,25
48.0,6
53.0,45
30.0,10
48.0,6
0.0,12
0.0,12
50.0,5
25.0,18
30.0,10
20.0,31
48.0,6
0.0,12
0.0,12
20.0,31
0.0,12
0.0,12
1.0,4
1.0,4
26.0,43
39.0,35
50.0,5
35.0,13
36.0,1
25.0,18
0.0,12
1.0,4
48.0,6
50.0,5
22.0,11
65.0,24
0.0,12
0.0,12
28.0,27
48.0,6
40.0,30
15.0,23
0.0,12
0.0,12
25.0,18
20.0,31
40.0,30
30.0,10
48.0,6
48.0,6
1.0,4
45.0,38
5.0,28
40.0,30
1.0,4
40.0,30
40.0,30
51.0,36
51.0,36
50.0,5
39.0,35
48.0,6
1.0,4
0.0,12
50.0,5
0.0,12
40.0,30
37.0,19
69.0,47
0.0,12
50.0,5
0.0,12
0.0,12
0.0,12
20.0,31
0.0,12
1.0,4
1.0,4
19.0,34
0.0,12
50.0,5
12.0,33
42.0,44
40.0,30
42.0,44
9.0,46
50.0,5
48.0,6
48.0,6
50.0,5
12.0,33
0.0,12
30.0,10
0.0,12
40.0,30
50.0,5
0.0,12
50.0,5
51.0,36
53.0,45
1.0,4
25.0,18
85.0,22
1.0,4
0.0,12
50.0,5
35.0,13
15.0,23
30.0,10
48.0,6
0.0,12
48.0,6
50.0,5
0.0,12
55.0,16
48.0,6
19.0,34
51.0,36
22.0,11
50.0,5
0.0,12
50.0,5
48.0,6
15.0,23
50.0,5
9.0,46
50.0,5
10.0,25
45.0,38
20.0,31
36.0,1
1.0,4
50.0,5
0.0,12
65.0,24
35.0,13
0.0,12
47.0,0
25.0,18
35.0,13
1.0,4
50.0,5
0.0,12
45.0,38
48.0,6
50.0,5
1.0,4
0.0,12
24.0,7
12.0,33
0.0,12
0.0,12
50.0,5
25.0,18
35.0,13
30.0,10
15.0,23
0.0,12
19.0,2
39.0,35
69.0,47
1.0,4
30.0,10
50.0,5
28.0,27
0.0,12
9.0,46
1.0,4
26.0,43
0.0,12
50.0,5
0.0,12
0.0,12
50.0,5
48.0,6
48.0,6
47.0,0
1.0,4
0.0,12
48.0,6
20.0,31
90.0,40
0.0,12
35.0,13
66.0,41
25.0,18
0.0,12
0.0,12
0.0,12
66.0,41
40.0,30
12.0,33
0.0,12
30.0,10
28.0,27
50.0,5
0.0,12
21.0,32
21.0,32
1.0,4
30.0,10
50.0,5
48.0,6
10.0,25
0.0,12
0.0,12
51.0,36
0.0,12
1.0,4
32.0,21
0.0,12
0.0,12
51.0,36
50.0,5
50.0,5
0.0,12
40.0,30
26.0,43
1.0,4
0.0,12
5.0,28
1.0,4
51.0,36
1.0,4
0.0,12
20.0,31
45.0,38
0.0,12
1.0,4
0.0,12
19.0,34
25.0,18
50.0,5
1.0,4
0.0,12
48.0,6
0.0,12
26.0,43
53.0,45
48.0,6
75.0,15
30.0,10
0.0,12
15.0,23
0.0,12
1.0,4
12.0,33
10.0,25
1.0,4
50.0,5
50.0,5
0.0,12
10.0,25
28.0,27
40.0,30
1.0,4
1.0,4
25.0,18
30.0,10
50.0,5
40.0,30
50.0,5
0.0,12
33.0,9
50.0,5
0.0,12
50.0,5
42.0,44
35.0,13
0.0,12
1.0,4
20.0,31
30.0,10
1.0,4
0.0,12
50.0,5
0.0,12
47.0,0
25.0,18
35.0,13
25.0,18
0.0,12
50.0,5
10.0,25
10.0,25
50.0,5
50.0,5
1.0,4
25.0,18
30.0,10
35.0,13
99.0,42
50.0,5
33.0,26
0.0,12
15.0,23
0.0,12
53.0,45
42.0,44
39.0,35
69.0,47
42.0,44
25.0,18
53.0,45
33.0,26
50.0,5
50.0,5
42.0,44
20.0,31
48.0,6
51.0,36
10.0,25
5.0,8
0.0,12
5.0,8
28.0,27
1.0,4
40.0,30
5.0,8
40.0,30
25.0,18
38.0,20
40.0,30
50.0,5
33.0,26
53.0,45
0.0,12
0.0,12
45.0,38
0.0,12
48.0,6
39.0,35
69.0,47
51.0,36
25.0,18
48.0,6
20.0,31
1.0,4
0.0,12
1.0,4
50.0,5
0.0,12
30.0,10
42.0,44
1.0,4
19.0,34
5.0,8
26.0,43
26.0,43
5.0,28
0.0,12
37.0,19
1.0,4
30.0,10
40.0,30
39.0,35
12.0,33
42.0,44
40.0,30
32.0,21
0.0,12
42.0,44
51.0,36
45.0,38
1.0,4
0.0,12
0.0,12
1.0,4
0.0,12
0.0,12
42.0,44
51.0,36
69.0,47
50.0,5
48.0,6
0.0,12
33.0,26
0.0,12
10.0,25
0.0,12
50.0,5
30.0,10
