Bomb,prompt_idx
80.0,17
71.0,1
44.0,23
45.0,19
51.0,6
58.0,18
71.0,1
45.0,19
71.0,1
50.0,3
58.0,18
71.0,1
71.0,1
36.0,2
20.0,0
0.0,16
20.0,0
36.0,2
49.0,27
25.0,13
50.0,3
71.0,1
0.0,16
60.0,38
36.0,2
71.0,1
58.0,18
1.0,20
20.0,0
55.0,24
25.0,13
20.0,0
36.0,2
71.0,1
41.0,43
20.0,0
20.0,0
20.0,0
0.0,26
90.0,22
48.0,46
80.0,17
92.0,5
0.0,16
36.0,2
44.0,23
65.0,7
36.0,2
55.0,24
71.0,1
36.0,2
80.0,17
49.0,27
80.0,17
71.0,1
50.0,3
0.0,37
55.0,24
80.0,17
36.0,2
49.0,27
36.0,2
50.0,3
25.0,13
1.0,20
1.0,20
50.0,3
51.0,6
50.0,3
0.0,16
71.0,1
63.0,33
36.0,2
42.0,3
51.0,6
44.0,23
25.0,13
55.0,24
20.0,0
71.0,1
51.0,6
58.0,18
0.0,16
71.0,1
49.0,27
71.0,1
51.0,6
80.0,17
65.0,7
51.0,6
36.0,2
50.0,3
80.0,17
51.0,6
58.0,18
58.0,18
71.0,1
36.0,2
58.0,18
51.0,6
55.0,24
71.0,1
0.0,16
0.0,26
44.0,23
50.0,3
50.0,3
71.0,1
19.0,14
92.0,5
20.0,0
50.0,3
0.0,16
92.0,5
1.0,20
50.0,6
71.0,1
49.0,27
36.0,2
20.0,0
80.0,17
51.0,6
50.0,3
36.0,2
42.0,3
40.0,55
71.0,1
44.0,23
44.0,23
25.0,13
51.0,6
36.0,2
50.0,3
49.0,27
20.0,0
60.0,57
0.0,16
51.0,6
42.0,3
50.0,3
48.0,46
71.0,1
50.0,3
92.0,5
71.0,1
71.0,1
0.0,37
51.0,6
20.0,0
45.0,19
71.0,1
0.0,37
51.0,6
50.0,3
0.0,16
30.0,56
92.0,5
36.0,2
55.0,24
92.0,5
1.0,20
50.0,3
71.0,1
49.0,27
36.0,2
42.0,3
50.0,3
25.0,13
36.0,2
25.0,13
71.0,1
0.0,16
1.0,20
25.0,13
45.0,19
50.0,3
51.0,6
20.0,0
58.0,18
35.0,41
65.0,7
63.0,33
0.0,16
71.0,1
49.0,27
36.0,2
92.0,5
71.0,1
50.0,3
36.0,2
71.0,1
71.0,1
42.0,3
55.0,24
36.0,2
51.0,6
49.0,27
0.0,16
51.0,6
42.0,3
20.0,0
45.0,19
71.0,1
45.0,19
58.0,18
20.0,0
45.0,19
20.0,0
51.0,6
36.0,2
36.0,2
36.0,2
58.0,18
41.0,43
71.0,1
100.0,3
92.0,5
63.0,33
25.0,13
20.0,0
49.0,27
49.0,27
50.0,3
65.0,7
20.0,0
92.0,5
0.0,16
0.0,16
44.0,23
71.0,1
74.0,28
92.0,5
0.0,16
51.0,6
20.0,0
0.0,16
45.0,19
0.0,37
20.0,0
55.0,24
71.0,1
50.0,3
49.0,27
0.0,26
50.0,3
80.0,17
65.0,7
71.0,1
80.0,17
49.0,27
20.0,0
63.0,33
50.0,3
20.0,0
0.0,16
58.0,18
36.0,2
25.0,13
45.0,19
55.0,24
71.0,1
20.0,0
50.0,3
50.0,3
20.0,0
50.0,3
51.0,6
30.0,56
36.0,2
50.0,42
36.0,2
71.0,1
80.0,17
50.0,3
92.0,5
36.0,2
20.0,0
51.0,6
25.0,13
36.0,2
71.0,1
0.0,16
0.0,26
36.0,2
44.0,23
65.0,7
45.0,19
71.0,1
0.0,16
55.0,24
58.0,18
1.0,20
51.0,6
20.0,0
20.0,0
50.0,3
36.0,2
0.0,16
1.0,20
58.0,18
55.0,24
58.0,18
49.0,27
25.0,13
0.0,16
45.0,19
0.0,16
42.0,3
0.0,37
20.0,0
71.0,1
36.0,2
80.0,17
71.0,1
58.0,3
36.0,2
19.0,14
49.0,27
71.0,1
20.0,0
50.0,3
45.0,19
63.0,33
45.0,19
45.0,19
50.0,3
50.0,3
42.0,3
92.0,5
51.0,6
71.0,1
65.0,7
80.0,17
36.0,2
71.0,1
58.0,18
0.0,16
51.0,6
25.0,13
51.0,6
20.0,0
50.0,3
0.0,16
36.0,2
20.0,0
36.0,2
51.0,6
63.0,33
0.0,16
20.0,0
50.0,3
36.0,2
80.0,17
58.0,18
45.0,19
51.0,6
50.0,3
50.0,42
0.0,16
20.0,0
50.0,6
50.0,3
71.0,1
55.0,24
40.0,45
36.0,2
36.0,2
36.0,2
71.0,1
58.0,18
44.0,23
51.0,6
20.0,0
65.0,7
92.0,5
20.0,0
100.0,40
61.0,49
44.0,23
20.0,0
20.0,0
51.0,6
25.0,13
58.0,18
71.0,1
80.0,17
36.0,2
71.0,1
50.0,3
36.0,2
50.0,3
50.0,3
60.0,38
50.0,3
0.0,37
0.0,37
50.0,3
50.0,3
36.0,2
71.0,1
80.0,17
51.0,6
36.0,2
49.0,27
1.0,20
60.0,38
36.0,2
51.0,6
36.0,2
51.0,6
36.0,2
45.0,19
45.0,19
65.0,7
36.0,2
44.0,23
71.0,1
42.0,3
50.0,3
71.0,1
100.0,3
0.0,16
71.0,1
51.0,6
36.0,2
50.0,3
0.0,26
20.0,0
19.0,14
92.0,5
20.0,0
71.0,1
50.0,3
0.0,16
0.0,16
60.0,48
65.0,7
51.0,6
50.0,3
71.0,1
20.0,0
51.0,6
42.0,3
58.0,18
45.0,19
20.0,0
36.0,2
0.0,16
42.0,3
36.0,2
44.0,23
0.0,16
19.0,14
25.0,13
50.0,3
36.0,2
50.0,3
49.0,27
20.0,0
36.0,2
20.0,0
50.0,3
51.0,6
36.0,2
51.0,6
36.0,2
19.0,14
71.0,1
49.0,27
50.0,42
50.0,3
50.0,3
63.0,33
20.0,0
55.0,24
42.0,3
58.0,18
20.0,0
20.0,0
92.0,5
49.0,27
71.0,1
71.0,1
50.0,3
36.0,2
50.0,3
50.0,3
99.0,36
20.0,0
20.0,0
71.0,1
92.0,5
50.0,3
45.0,19
71.0,1
36.0,2
100.0,3
36.0,2
25.0,13
0.0,16
36.0,2
92.0,5
45.0,19
71.0,1
55.0,24
0.0,16
49.0,27
20.0,0
50.0,3
58.0,18
20.0,0
92.0,5
20.0,0
60.0,38
20.0,0
80.0,17
80.0,17
71.0,1
0.0,26
99.0,36
71.0,1
20.0,0
20.0,0
80.0,17
42.0,3
92.0,5
50.0,3
50.0,3
50.0,3
20.0,0
51.0,6
80.0,17
1.0,20
36.0,2
50.0,3
20.0,0
55.0,24
50.0,6
20.0,0
71.0,1
60.0,38
36.0,2
58.0,18
50.0,3
20.0,0
50.0,3
36.0,2
0.0,16
55.0,24
100.0,3
50.0,3
19.0,14
20.0,0
49.0,27
36.0,2
44.0,23
49.0,27
1.0,20
36.0,2
20.0,0
50.0,3
25.0,13
50.0,3
50.0,3
49.0,27
50.0,3
50.0,3
0.0,16
36.0,2
65.0,7
0.0,16
100.0,50
0.0,37
0.0,26
50.0,3
71.0,1
58.0,18
80.0,17
36.0,2
92.0,5
71.0,1
25.0,13
71.0,1
20.0,0
20.0,0
36.0,2
0.0,16
20.0,0
19.0,14
36.0,2
90.0,22
58.0,18
65.0,7
50.0,3
44.0,23
36.0,2
71.0,1
55.0,24
20.0,0
44.0,23
51.0,6
50.0,42
40.0,55
71.0,1
20.0,0
49.0,27
71.0,1
0.0,26
20.0,0
36.0,2
36.0,2
92.0,5
60.0,57
58.0,18
36.0,2
50.0,3
0.0,16
20.0,0
49.0,27
49.0,27
0.0,16
36.0,2
65.0,7
20.0,0
71.0,1
50.0,3
63.0,33
36.0,2
44.0,23
36.0,2
25.0,13
50.0,3
0.0,26
49.0,27
51.0,6
51.0,6
99.0,36
55.0,24
50.0,3
40.0,55
99.0,36
20.0,0
71.0,1
100.0,50
60.0,48
55.0,24
45.0,19
63.0,33
20.0,0
1.0,20
51.0,6
50.0,3
20.0,0
51.0,6
25.0,13
65.0,7
80.0,17
42.0,3
51.0,6
20.0,0
71.0,1
0.0,26
92.0,5
58.0,18
49.0,27
35.0,41
71.0,1
58.0,18
0.0,37
50.0,3
60.0,48
55.0,24
71.0,1
40.0,55
51.0,6
42.0,3
20.0,0
99.0,36
19.0,14
80.0,17
90.0,22
71.0,1
74.0,28
51.0,6
80.0,17
58.0,18
20.0,0
51.0,6
20.0,0
51.0,6
50.0,3
55.0,24
71.0,1
71.0,1
25.0,13
50.0,3
0.0,16
60.0,57
92.0,5
51.0,6
90.0,22
36.0,2
50.0,3
20.0,0
51.0,6
65.0,7
50.0,16
100.0,40
45.0,19
51.0,6
35.0,41
19.0,14
92.0,5
50.0,3
36.0,2
44.0,23
71.0,1
80.0,17
80.0,17
58.0,18
20.0,0
71.0,1
49.0,27
0.0,37
20.0,0
0.0,26
36.0,2
40.0,55
80.0,17
80.0,17
51.0,6
92.0,5
1.0,20
50.0,3
80.0,17
71.0,1
20.0,0
65.0,7
0.0,16
100.0,3
20.0,0
20.0,0
71.0,1
20.0,0
20.0,0
45.0,19
58.0,18
20.0,0
44.0,23
51.0,6
71.0,1
80.0,17
36.0,2
20.0,0
44.0,23
20.0,0
71.0,1
51.0,6
92.0,5
80.0,17
92.0,5
50.0,3
36.0,2
20.0,0
50.0,3
20.0,0
36.0,2
51.0,6
80.0,17
50.0,3
0.0,16
42.0,3
92.0,5
36.0,2
36.0,2
36.0,2
71.0,1
71.0,1
36.0,2
49.0,27
20.0,0
44.0,23
71.0,1
36.0,2
71.0,1
20.0,0
20.0,0
50.0,3
0.0,26
50.0,3
36.0,2
80.0,17
71.0,1
49.0,27
58.0,18
71.0,1
92.0,5
36.0,2
0.0,16
20.0,0
36.0,2
99.0,36
71.0,1
92.0,5
92.0,5
58.0,18
49.0,3
1.0,20
71.0,1
36.0,2
71.0,1
20.0,0
36.0,2
71.0,1
0.0,16
0.0,16
51.0,6
20.0,0
51.0,6
36.0,2
19.0,14
50.0,3
80.0,17
36.0,2
45.0,19
36.0,2
49.0,27
42.0,3
50.0,3
36.0,2
71.0,1
0.0,37
0.0,16
100.0,50
36.0,2
50.0,3
55.0,24
80.0,17
0.0,16
36.0,2
50.0,19
71.0,1
20.0,0
71.0,1
50.0,3
36.0,2
50.0,3
1.0,20
44.0,23
40.0,45
60.0,38
60.0,57
80.0,17
36.0,2
60.0,57
71.0,1
100.0,50
42.0,3
58.0,18
36.0,2
71.0,1
50.0,3
48.0,46
0.0,26
20.0,0
49.0,27
50.0,3
36.0,2
50.0,6
50.0,3
51.0,6
41.0,43
55.0,24
50.0,3
1.0,20
51.0,6
65.0,7
50.0,3
100.0,3
71.0,1
