Investor,prompt_idx
5.0,7
34.0,21
100.0,3
20.0,9
10.0,1
100.0,3
20.0,9
0.0,48
75.0,40
10.0,1
100.0,3
80.0,46
20.0,9
100.0,3
6.0,27
0.0,48
50.0,8
5.0,7
50.0,8
35.0,6
100.0,3
100.0,3
1.0,24
34.0,21
100.0,3
100.0,3
55.0,22
100.0,3
34.0,21
50.0,8
100.0,3
80.0,46
100.0,3
100.0,3
45.0,20
13.0,45
100.0,3
40.0,17
0.0,48
45.0,20
6.0,27
100.0,3
55.0,22
100.0,3
10.0,1
1.0,24
20.0,9
15.0,38
45.0,20
34.0,21
3.0,36
17.0,2
35.0,29
74.0,43
25.0,0
6.0,27
3.0,36
6.0,27
20.0,9
0.0,48
45.0,20
100.0,3
100.0,3
100.0,3
20.0,9
0.0,48
8.0,33
5.0,7
33.0,49
6.0,27
45.0,20
67.0,35
5.0,7
80.0,46
25.0,4
20.0,9
100.0,3
17.0,2
100.0,3
100.0,3
13.0,45
0.0,48
100.0,3
67.0,19
100.0,3
95.0,39
100.0,3
20.0,9
34.0,21
20.0,9
13.0,45
20.0,9
50.0,8
0.0,48
100.0,3
0.0,48
20.0,9
33.0,49
5.0,7
8.0,33
67.0,19
35.0,6
20.0,9
50.0,8
45.0,20
15.0,23
15.0,38
55.0,22
25.0,4
100.0,3
34.0,21
17.0,2
50.0,8
95.0,39
34.0,21
100.0,3
50.0,8
1.0,24
67.0,19
100.0,3
50.0,8
100.0,3
100.0,3
80.0,46
20.0,9
42.0,16
35.0,6
13.0,45
20.0,9
30.0,28
20.0,9
5.0,7
100.0,3
95.0,39
95.0,39
67.0,35
34.0,21
100.0,3
90.0,11
100.0,3
45.0,20
100.0,3
100.0,3
80.0,46
8.0,33
67.0,35
70.0,31
13.0,45
30.0,28
1.0,24
13.0,45
20.0,9
50.0,8
80.0,46
35.0,6
67.0,35
0.0,48
20.0,9
15.0,38
50.0,8
1.0,13
100.0,3
5.0,7
0.0,48
0.0,48
35.0,6
6.0,27
0.0,48
50.0,8
100.0,3
0.0,48
13.0,45
60.0,10
6.0,27
74.0,43
50.0,8
34.0,21
0.0,48
14.0,42
5.0,7
0.0,48
5.0,7
70.0,31
14.0,42
1.0,13
13.0,45
5.0,7
10.0,1
100.0,3
100.0,3
50.0,8
30.0,28
100.0,3
0.0,48
20.0,9
1.0,24
20.0,9
20.0,9
3.0,36
30.0,28
13.0,45
100.0,3
1.0,13
0.0,48
13.0,45
50.0,8
8.0,33
0.0,48
35.0,6
33.0,49
80.0,46
35.0,6
45.0,20
20.0,9
50.0,8
20.0,9
0.0,48
70.0,31
1.0,24
85.0,34
0.0,48
30.0,28
40.0,17
45.0,20
15.0,38
45.0,20
100.0,3
0.0,48
5.0,7
85.0,34
100.0,3
0.0,48
33.0,49
100.0,3
35.0,29
40.0,17
45.0,20
100.0,3
20.0,9
23.0,25
0.0,48
33.0,49
0.0,48
8.0,33
0.0,48
100.0,3
100.0,3
100.0,3
100.0,3
1.0,24
25.0,0
8.0,33
50.0,8
50.0,8
50.0,8
34.0,21
14.0,42
14.0,42
100.0,3
34.0,21
50.0,8
6.0,27
10.0,1
3.0,47
100.0,3
20.0,9
35.0,29
5.0,7
100.0,3
20.0,9
35.0,6
17.0,2
100.0,3
1.0,13
15.0,23
3.0,36
34.0,21
50.0,8
85.0,34
74.0,43
14.0,42
50.0,8
20.0,9
8.0,33
14.0,42
100.0,3
34.0,21
20.0,9
60.0,12
100.0,3
45.0,20
34.0,21
13.0,45
28.0,30
13.0,45
30.0,28
45.0,20
30.0,28
50.0,8
100.0,3
23.0,32
45.0,20
100.0,3
2.0,18
8.0,33
0.0,48
35.0,6
8.0,33
15.0,38
50.0,8
5.0,7
33.0,49
70.0,31
100.0,3
90.0,11
100.0,3
10.0,1
10.0,1
100.0,3
5.0,7
13.0,45
50.0,8
13.0,45
45.0,20
50.0,8
28.0,30
100.0,3
31.0,37
100.0,3
15.0,23
90.0,11
60.0,12
34.0,21
20.0,9
8.0,33
30.0,28
45.0,20
35.0,6
34.0,21
0.0,48
100.0,3
80.0,46
100.0,3
20.0,9
17.0,2
3.0,47
33.0,49
100.0,3
44.0,15
50.0,8
50.0,8
15.0,23
14.0,42
6.0,27
3.0,47
0.0,48
10.0,1
5.0,7
35.0,6
1.0,13
8.0,33
100.0,3
100.0,3
1.0,24
5.0,7
100.0,3
85.0,34
54.0,26
24.0,44
85.0,34
2.0,18
50.0,8
50.0,8
100.0,3
100.0,3
20.0,9
34.0,21
