Dictator,prompt_idx
0.0,11
50.0,2
50.0,2
0.0,0
0.0,11
0.02,18
0.0,11
40.0,5
40.0,5
40.0,5
50.0,2
0.0,0
40.0,5
50.0,2
0.0,0
23.0,1
0.0,0
23.0,1
1.0,30
50.0,2
0.0,0
0.0,0
50.0,2
0.0,11
23.0,1
50.0,2
47.0,8
36.0,3
23.0,1
0.0,11
0.0,0
50.0,2
23.0,1
50.0,2
50.0,2
0.0,0
23.0,1
23.0,1
40.0,5
49.99,17
0.0,11
0.0,0
0.02,18
0.0,11
40.0,5
50.0,2
80.0,13
40.0,5
36.0,3
23.0,1
0.0,11
0.0,0
0.02,18
50.0,2
40.0,5
23.0,1
0.0,0
23.0,1
49.0,31
50.0,2
0.0,0
23.0,1
23.0,1
40.0,5
23.0,1
23.0,1
50.0,2
43.0,23
40.0,5
50.0,2
23.0,1
1.0,44
0.02,18
50.0,2
3.0,32
23.0,1
23.0,1
40.0,5
50.0,2
40.0,5
0.0,0
0.0,0
50.0,2
50.0,2
1.0,30
50.0,2
23.0,1
0.0,0
23.0,1
23.0,1
40.0,5
23.0,1
43.0,23
23.0,1
0.0,0
0.0,0
47.0,8
50.0,2
49.99,17
0.0,0
23.0,1
40.0,5
49.99,17
50.0,2
0.0,11
0.0,0
0.0,0
0.0,0
40.0,5
0.0,0
47.0,8
0.0,0
0.0,11
40.0,5
50.0,2
8.0,51
40.0,5
23.0,1
23.0,1
23.0,1
23.0,1
49.99,17
0.0,0
23.0,1
80.0,13
23.0,1
50.0,2
1.0,30
40.0,5
47.0,8
50.0,2
36.0,3
0.0,0
75.0,21
40.0,5
0.0,0
0.0,0
0.0,0
40.0,5
23.0,1
0.0,0
23.0,1
0.0,11
40.0,5
0.0,0
50.0,2
50.0,2
0.0,0
23.0,1
0.0,0
0.02,18
0.0,0
43.0,23
0.0,0
47.0,8
23.0,1
0.0,0
23.0,1
23.0,1
1.0,44
50.0,2
23.0,1
40.0,5
40.0,5
23.0,1
23.0,1
23.0,1
3.0,32
47.0,8
0.0,0
0.0,0
40.0,5
23.0,1
0.02,18
23.0,1
0.0,0
45.0,40
23.0,1
0.0,0
50.0,2
0.0,0
40.0,5
23.0,1
50.0,2
0.0,0
80.0,13
40.0,5
0.0,0
49.0,31
23.0,1
0.0,11
49.0,31
23.0,1
23.0,1
50.0,2
23.0,1
3.0,32
44.0,9
0.0,0
23.0,1
23.0,1
0.0,11
40.0,5
23.0,1
23.0,1
40.0,5
3.0,32
50.0,2
0.0,11
23.0,1
0.0,0
23.0,1
36.0,3
3.0,32
50.0,2
49.99,17
50.0,2
36.0,3
50.0,2
23.0,1
50.0,2
50.0,2
0.0,11
23.0,1
1.0,44
40.0,5
50.0,2
50.0,2
99.0,54
50.0,2
36.0,3
23.0,1
40.0,5
49.0,31
47.0,8
23.0,1
0.0,0
23.0,1
40.0,5
50.0,2
23.0,1
0.0,11
23.0,1
0.0,0
0.0,11
23.0,1
0.0,0
23.0,1
3.0,32
23.0,1
50.0,2
23.0,1
43.0,23
50.0,2
40.0,5
23.0,1
0.0,0
0.0,0
0.02,18
0.0,0
50.0,2
36.0,3
23.0,1
23.0,1
50.0,2
0.0,0
23.0,1
45.0,40
0.0,0
50.0,2
0.0,0
0.02,18
50.0,2
0.0,0
50.0,2
0.0,0
23.0,1
23.0,1
0.0,0
0.0,0
49.99,17
23.0,1
23.0,1
49.0,31
47.0,8
50.0,2
0.0,0
50.0,2
0.0,0
23.0,1
50.0,2
23.0,1
0.0,0
1.0,30
0.0,11
50.0,2
49.0,31
40.0,5
0.0,0
45.0,40
50.0,2
40.0,5
1.0,30
0.0,0
0.0,0
23.0,1
0.0,0
3.0,32
50.0,2
47.0,8
50.0,2
0.0,11
40.0,5
23.0,1
49.99,17
0.0,0
23.0,1
50.0,2
0.0,0
0.0,0
0.02,18
40.0,5
1.0,30
36.0,3
23.0,1
0.0,11
0.0,11
0.0,0
23.0,1
47.0,8
50.0,2
3.0,32
0.02,18
0.0,11
0.0,11
50.0,2
0.0,0
0.0,11
40.0,5
50.0,2
23.0,1
40.0,5
3.0,32
23.0,1
23.0,1
0.0,0
0.0,0
50.0,2
49.0,31
23.0,1
23.0,1
50.0,2
36.0,3
0.0,0
23.0,1
0.0,0
50.0,2
23.0,1
23.0,1
23.0,1
47.0,8
50.0,2
0.0,0
50.0,2
1.0,30
49.0,31
0.0,11
1.0,30
23.0,1
0.0,0
0.0,11
23.0,1
50.0,2
80.0,13
40.0,5
50.0,2
23.0,1
0.0,11
