Dictator,Banker_50,Bomb,Investor,Proposer,Public_Goods,Responder
5,100,0,50,45,10,1
5,100,0,50,50,10,1
5,80,0,50,40,10,1
5,80,0,33,40,10,1
5,100,0,50,50,10,1
5,100,0,40,40,10,1
5,100,0,100,50,10,50
5,100,0,80,50,10,1
5,80,0,80,50,10,1
5,80,0,80,50,10,1
5,100,0,80,50,10,25
5,80,0,80,40,10,1
5,100,0,100,40,10,1
5,100,0,80,40,10,1
5,100,0,100,50,10,25
5,80,0,50,50,10,1
5,100,0,50,50,10,1
5,100,0,80,50,10,50
5,80,0,100,50,10,1
5,80,0,80,50,10,1
5,100,0,50,40,10,1
5,100,0,80,50,10,1
5,80,0,80,50,10,1
5,75,0,80,50,10,1
5,100,0,80,40,10,25
5,75,0,80,40,10,1
5,75,0,80,50,10,1
5,100,0,80,50,10,1
5,80,0,100,40,10,1
5,100,0,50,40,10,25
5,80,0,100,50,10,20
5,100,0,80,50,10,1
5,100,0,90,50,10,1
5,100,0,80,40,10,1
5,80,0,80,50,10,1
5,100,0,100,50,10,1
5,75,0,80,50,10,1
5,80,0,80,40,10,1
5,75,0,80,40,10,1
5,100,0,80,50,10,1
5,100,0,35,40,10,1
5,80,0,35,50,10,50
5,100,0,35,50,10,1
5,100,0,35,40,10,40
5,80,0,35,50,10,1
5,100,0,35,50,10,1
5,100,0,40,40,10,25
5,80,0,35,40,10,1
5,80,0,35,40,10,40
5,80,0,35,40,10,25
5,100,0,35,50,8,25
5,75,0,35,50,10,20
5,80,0,35,50,10,40
5,75,0,35,40,10,25
5,75,0,35,50,10,25
5,80,0,35,50,10,20
5,100,0,35,50,10,25
45,100,0,35,50,10,20
45,100,0,35,45,10,30
45,100,0,35,50,10,20
45,100,0,35,50,10,30
45,100,0,35,40,10,40
45,100,0,35,50,10,30
51,80,0,35,40,10,45
45,100,0,35,50,10,20
45,80,0,35,50,10,20
45,75,0,35,40,10,20
45,100,0,35,40,10,25
45,100,0,35,45,10,20
45,100,0,35,50,10,30
45,100,0,1,50,10,25
45,75,0,1,50,10,40
45,100,0,1,50,10,20
45,80,0,1,40,10,20
45,100,0,1,45,10,25
45,100,0,1,50,10,25
45,100,0,1,50,10,20
45,75,0,1,50,10,25
45,80,0,1,40,10,30
45,80,0,1,50,10,30
45,80,0,1,40,10,25
45,80,0,1,40,10,1
45,100,50,1,50,10,1
45,100,50,1,40,10,1
45,100,50,1,50,10,1
45,75,50,1,40,10,1
45,100,50,1,40,10,1
45,100,50,1,40,10,1
45,100,50,1,50,10,1
45,100,50,1,40,10,1
45,80,50,1,50,10,1
45,80,50,1,40,10,1
45,80,50,1,50,10,1
45,100,50,1,50,10,1
45,100,50,1,50,10,1
45,100,99,1,50,10,1
45,100,50,1,40,10,1
45,100,50,1,50,10,1
45,100,50,1,50,10,1
45,80,50,1,50,10,1
45,100,50,1,45,10,1
48,75,50,1,50,10,1
45,100,50,1,40,10,1
45,100,50,1,50,10,1
45,75,50,1,50,10,1
45,80,50,50,50,10,1
0,80,50,50,40,10,1
0,80,50,50,50,10,1
0,80,50,50,50,10,1
0,80,50,50,50,10,1
0,100,50,50,40,10,1
0,75,50,50,50,10,1
0,0,50,50,40,10,1
0,0,50,50,50,10,1
0,0,50,50,40,10,1
0,0,50,30,40,10,1
0,0,50,20,45,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,50,50,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,10,45,10,1
0,0,50,20,40,10,1
0,0,50,30,50,10,1
0,0,50,20,45,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,37,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,30,40,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,40,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,50,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,30,50,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,40,10,1
0,0,50,50,50,10,1
0,0,50,20,50,10,1
0,0,50,50,40,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,10,50,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,5,40,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,45,10,1
0,0,50,20,50,10,1
0,0,37,20,50,10,1
0,0,50,50,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,40,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,20,45,10,1
0,0,50,20,50,10,1
0,0,50,20,50,10,1
0,0,50,20,40,10,1
0,0,50,20,50,10,1
0,0,50,30,50,10,1
0,0,50,20,48,10,1
0,0,50,20,50,10,1
0,0,50,20,45,10,1
0,0,50,1,50,10,1
0,0,50,1,40,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,40,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,1,40,10,1
0,0,51,1,50,10,1
0,0,51,1,50,10,1
0,0,50,1,40,10,1
0,0,50,1,50,10,1
0,0,50,1,50,10,1
0,0,50,20,50,10,1
0,0,50,1,50,10,1
0,0,50,10,40,10,1
0,0,50,10,40,10,1
0,0,50,10,45,10,1
0,0,50,10,50,10,1
0,0,50,10,50,10,1
0,0,51,10,40,5,1
0,0,50,10,50,5,1
0,0,50,20,40,5,1
0,0,50,10,40,5,1
0,0,99,20,40,5,1
0,0,50,10,40,5,1
0,0,51,10,50,5,1
0,0,50,20,40,5,1
0,0,50,10,50,5,1
0,0,51,10,50,8,1
0,0,50,10,50,8,1
0,0,50,10,50,5,1
0,0,50,10,40,5,1
0,0,50,10,40,8,1
0,0,50,10,50,5,1
0,0,50,20,50,5,1
0,0,50,10,45,8,1
0,0,50,10,50,5,1
0,0,99,5,50,8,1
0,0,50,10,50,5,1
0,0,51,20,50,8,1
0,0,50,20,40,8,1
0,0,50,5,50,5,1
0,0,50,0,50,5,1
0,0,50,0,40,5,1
0,0,50,0,40,4,1
0,0,50,0,50,5,1
0,0,50,0,40,4,1
0,0,50,0,50,5,1
0,0,50,0,40,8,1
0,0,50,0,50,8,1
0,0,50,0,40,5,1
0,0,50,0,40,5,1
0,0,51,0,50,4,1
0,0,51,0,50,5,1
0,0,50,0,50,5,1
0,0,50,0,50,4,1
0,0,50,0,50,8,1
0,0,50,0,45,8,1
0,0,50,0,50,4,1
0,0,50,0,50,5,1
0,0,50,0,50,8,1
0,0,50,0,40,4,1
0,0,51,0,50,5,1
0,0,50,0,50,5,1
0,0,50,0,40,4,40
0,0,50,0,50,0,20
0,0,50,0,40,8,40
0,0,51,0,50,8,1
0,0,50,0,40,8,50
0,0,50,0,50,5,40
0,0,50,0,50,5,50
0,0,51,0,50,5,30
0,0,50,1,50,8,40
0,0,50,0,50,5,40
0,0,51,0,40,8,40
0,0,99,0,40,5,30
0,0,50,0,50,8,50
0,0,50,0,50,8,30
0,0,50,0,50,5,1
0,0,50,0,50,8,1
0,0,50,0,40,8,1
0,0,50,0,40,8,40
0,0,50,0,40,8,40
0,0,50,0,50,5,1
0,0,50,0,40,4,1
0,0,50,0,40,5,40
0,0,50,0,50,8,1
0,0,50,0,50,8,1
0,0,50,0,50,5,40
0,0,50,0,50,5,50
0,0,50,0,50,5,45
0,0,50,0,40,5,1
0,0,51,0,45,5,25
0,0,50,0,50,4,50
0,0,51,0,50,5,50
0,0,50,0,40,5,40
0,0,50,0,45,5,50
0,0,37,0,50,4,30
0,0,50,0,50,8,50
0,0,50,0,50,5,40
0,0,50,0,40,5,40
0,0,50,0,50,4,30
0,0,50,0,50,6,40
0,0,50,0,50,5,40
0,0,50,0,45,8,30
45,0,50,0,40,4,1
40,0,50,0,50,8,20
45,0,50,0,50,5,1
45,0,50,100,50,5,1
45,0,50,100,45,5,1
45,0,50,100,50,4,1
40,0,50,100,50,4,1
45,0,51,100,40,5,1
40,0,50,100,40,5,1
50,0,50,100,50,5,1
50,0,50,100,40,5,1
50,0,50,100,1,8,1
50,0,50,100,1,5,20
50,100,50,100,1,5,1
50,100,50,100,1,5,20
50,100,50,100,20,8,1
50,110,50,90,1,5,20
50,100,50,100,1,5,1
50,100,50,100,1,8,20
50,100,50,100,1,5,1
50,100,50,100,1,5,1
50,100,50,100,20,5,1
50,100,60,100,1,5,1
50,100,50,100,1,5,1
50,120,50,100,10,8,1
50,100,51,100,1,5,1
50,100,50,100,1,4,1
50,100,51,100,20,4,1
50,100,50,100,20,5,1
50,100,50,100,1,5,1
50,100,50,100,10,5,1
50,100,50,100,20,5,1
50,100,50,100,20,8,1
50,100,50,100,20,8,1
50,100,50,100,1,4,1
50,100,37,100,1,8,1
50,100,50,100,20,4,20
50,100,50,80,40,5,1
50,100,50,80,45,5,1
50,100,50,100,40,5,1
50,100,50,100,45,5,20
50,100,50,90,40,5,1
50,100,50,100,45,8,1
50,100,50,100,40,8,20
50,100,50,100,40,5,1
50,100,91,100,40,4,1
50,100,50,100,45,8,1
50,100,50,100,40,5,20
50,100,69,100,40,5,1
50,100,50,100,45,8,1
50,100,50,100,40,4,1
50,100,50,100,30,8,1
50,100,50,100,40,5,1
50,100,50,100,45,8,1
50,100,50,100,40,5,1
50,100,50,100,40,5,1
50,100,50,80,40,5,20
50,110,51,100,100,5,1
50,100,50,100,100,8,20
50,100,50,100,100,5,1
50,100,50,80,51,4,20
