Responder,Bomb,Investor,Public_Goods,Banker_50,Dictator,Proposer
1,50,1,5,0,50,45
1,50,1,5,0,50,45
1,50,1,5,0,50,45
1,50,1,5,0,50,45
1,50,1,5,0,50,45
1,50,1,5,0,50,40
1,50,1,5,0,50,40
1,50,10,5,0,50,45
1,50,1,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,45
1,50,20,5,0,50,45
1,50,1,5,0,50,40
1,50,0,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,50,0,5,0,50,40
1,50,1,5,0,50,45
1,50,20,5,0,50,45
1,50,10,5,0,50,40
1,50,0,5,0,50,40
1,50,0,5,0,50,40
1,50,10,5,0,50,40
1,50,20,5,0,50,40
1,50,10,5,0,50,40
1,50,1,5,0,50,40
1,50,1,5,0,50,40
1,50,20,5,0,50,40
1,50,1,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,40
1,50,10,5,0,50,45
1,50,20,5,0,50,40
1,50,0,5,0,50,45
1,50,0,5,0,50,40
1,50,20,5,0,50,40
1,50,1,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,40
1,50,1,5,0,50,40
1,50,1,5,0,50,40
1,50,10,5,0,50,45
1,50,1,5,0,50,45
1,50,1,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,40
1,50,10,5,0,50,45
1,50,1,5,0,50,40
1,50,1,5,0,50,40
1,50,10,5,0,50,40
1,50,20,5,0,50,45
1,50,10,5,0,50,40
1,50,50,5,0,50,40
1,50,1,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,50,1,5,0,50,40
1,50,1,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,45
1,50,20,5,0,50,40
1,50,0,5,0,50,40
1,50,20,5,0,50,40
1,50,20,5,0,50,40
1,50,20,5,0,50,40
1,50,0,5,0,50,45
1,50,10,5,0,50,40
1,50,1,5,0,50,40
1,50,20,5,0,50,40
1,50,20,5,0,50,40
1,50,10,5,0,50,40
1,99,10,5,0,50,40
1,50,20,5,0,50,40
1,99,10,5,0,50,45
1,50,20,8,0,50,40
1,50,10,5,0,50,40
1,50,1,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,45
1,50,1,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,50,1,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,99,10,5,0,50,45
1,50,10,5,0,50,40
1,50,10,5,0,50,40
1,50,10,5,0,50,45
1,50,10,5,0,50,45
1,50,10,5,0,50,40
25,50,10,5,0,50,40
40,50,0,5,0,50,40
25,50,10,5,0,50,45
1,50,1,5,0,50,45
1,99,1,5,0,50,40
20,50,50,5,0,50,40
40,100,50,5,0,50,40
40,50,50,5,0,50,45
20,50,50,5,0,50,40
30,50,50,10,0,50,40
50,50,30,10,0,50,40
1,50,50,10,0,50,40
45,50,50,10,0,50,40
40,50,50,10,0,50,45
1,50,50,10,0,50,40
25,50,50,10,0,50,40
30,50,50,10,0,50,40
1,99,50,10,0,50,40
20,50,50,10,0,50,40
50,50,50,10,0,50,45
1,50,50,10,0,50,40
50,50,50,10,0,50,45
1,50,50,10,0,50,45
25,50,50,10,0,50,40
1,50,50,10,0,50,40
50,50,30,10,0,50,45
40,50,50,10,0,50,40
25,50,50,10,0,50,40
40,50,50,10,0,50,40
1,50,50,10,0,50,45
1,50,50,10,0,50,45
30,50,50,10,0,50,45
30,50,50,10,0,50,45
25,50,50,10,0,50,45
1,50,50,10,0,50,45
40,50,50,10,0,50,40
25,50,50,10,0,50,40
50,50,50,10,0,50,40
25,50,40,10,0,50,40
40,50,50,10,0,50,40
1,50,50,10,0,50,40
20,50,50,10,0,50,40
40,50,50,10,0,50,40
25,50,40,10,0,50,40
50,50,50,10,0,50,40
20,50,33,10,0,50,40
25,50,50,10,0,50,40
50,50,50,10,0,50,40
25,99,50,10,0,50,40
25,99,50,10,0,50,45
1,50,50,10,0,50,40
1,50,33,10,0,50,40
25,50,50,10,0,50,40
20,50,50,10,0,50,40
50,50,50,10,0,50,40
1,50,50,10,0,50,40
20,50,50,10,0,50,45
20,50,50,10,0,50,40
40,50,50,10,0,50,40
20,50,50,10,0,50,40
40,50,50,10,0,50,40
45,50,50,10,0,50,40
40,100,30,10,0,50,40
50,50,50,10,0,50,40
25,50,50,10,0,50,45
25,50,50,10,0,50,45
50,50,50,10,0,50,40
30,50,20,10,0,50,40
30,50,50,10,0,50,40
25,50,30,10,0,50,40
50,50,50,10,50,50,40
30,50,50,10,50,50,40
50,50,50,10,60,50,40
25,50,50,10,51,50,40
25,50,50,10,51,50,45
40,50,50,10,50,50,40
40,50,50,10,51,50,40
50,50,40,10,50,50,40
30,50,50,10,51,50,40
25,50,50,10,50,50,40
25,50,50,10,51,50,40
20,50,50,10,60,50,40
25,50,50,10,51,50,40
30,50,50,10,60,50,40
50,50,50,10,51,50,40
25,50,30,10,50,50,40
1,50,33,10,60,50,40
25,50,50,10,60,50,40
40,50,40,10,50,50,40
25,50,50,10,51,50,40
40,50,50,10,60,50,40
40,50,50,10,50,50,40
50,50,40,10,50,50,50
1,50,50,10,51,40,50
1,50,30,10,50,45,40
30,100,50,10,50,45,40
30,50,50,10,51,40,40
50,50,50,10,51,45,40
50,50,50,10,60,45,40
30,50,40,10,50,45,40
50,50,50,10,50,45,45
25,50,50,10,50,45,40
30,50,50,10,60,45,40
25,50,50,10,0,45,45
25,50,50,10,60,45,50
40,50,50,10,60,45,40
1,50,50,10,100,45,40
30,50,50,10,51,45,40
40,50,50,10,51,45,40
25,50,40,10,51,45,40
50,50,20,10,51,45,40
40,98,50,10,50,40,40
40,50,50,10,100,45,50
45,50,50,10,100,45,40
25,50,60,10,50,45,40
40,50,50,10,60,45,40
50,50,50,10,50,45,40
25,50,50,10,51,45,40
25,50,50,10,50,40,50
25,50,50,10,50,45,40
25,50,50,10,51,45,40
30,50,50,10,50,45,40
40,50,50,10,51,45,25
25,50,50,10,50,45,30
30,50,50,10,51,45,30
25,50,50,10,50,45,25
40,50,50,10,50,45,30
25,50,50,10,50,40,25
25,50,50,10,50,45,25
20,50,50,10,50,45,20
40,50,50,10,50,40,25
1,50,50,10,50,45,21
25,50,1,10,51,45,20
1,50,1,10,51,45,20
40,50,1,10,60,45,20
1,50,1,10,50,45,20
30,50,1,10,50,45,20
50,50,1,10,60,45,25
1,50,1,10,60,45,20
20,50,1,10,51,45,25
40,50,1,10,60,45,25
30,50,1,10,50,45,1
30,50,1,10,50,45,25
25,50,1,10,51,45,25
1,50,1,10,51,45,25
20,50,1,10,0,45,25
30,50,1,10,51,45,10
1,50,1,10,60,40,20
25,50,1,10,51,45,40
45,50,1,10,60,40,40
