Public_Goods,prompt_idx
1.0,7
10.0,8
20.0,3
6.0,9
20.0,2
10.0,5
14.0,1
0.0,0
14.0,1
14.0,1
10.0,5
10.0,8
20.0,2
20.0,4
10.0,8
6.0,9
14.0,1
10.0,5
20.0,2
15.0,1
1.0,7
0.0,0
20.0,2
12.0,8
20.0,2
8.0,9
10.0,8
20.0,4
12.0,8
20.0,2
8.0,9
10.0,8
20.0,4
0.0,0
2.0,7
14.0,1
12.0,8
10.0,8
20.0,2
20.0,2
8.0,9
0.0,0
0.0,0
8.0,9
20.0,2
20.0,4
20.0,2
8.0,9
0.0,0
20.0,2
20.0,2
10.0,5
20.0,4
12.0,8
10.0,8
6.0,9
20.0,4
0.0,0
8.0,9
10.0,8
20.0,2
14.0,1
20.0,2
8.0,9
20.0,2
20.0,2
10.0,8
10.0,5
10.0,5
8.0,9
14.0,1
1.0,7
0.0,0
14.0,1
1.0,7
20.0,2
1.0,7
0.0,0
8.0,9
14.0,1
20.0,6
20.0,2
10.0,5
0.0,0
20.0,3
0.0,0
15.0,4
20.0,2
20.0,2
10.0,5
10.0,8
10.0,5
20.0,2
14.0,1
14.0,1
0.0,0
14.0,1
0.0,0
0.0,0
20.0,4
20.0,6
10.0,8
15.0,1
10.0,5
10.0,5
20.0,2
8.0,9
0.0,0
20.0,2
20.0,4
10.0,5
8.0,9
20.0,2
20.0,4
20.0,2
0.0,0
0.0,0
20.0,2
20.0,2
10.0,8
10.0,8
1.0,7
15.0,4
14.0,1
20.0,2
0.0,0
2.0,7
0.0,0
0.0,0
0.0,0
20.0,3
20.0,2
20.0,2
8.0,9
1.0,7
6.0,9
10.0,5
20.0,4
0.0,0
20.0,2
0.0,0
20.0,2
1.0,7
0.0,0
15.0,4
12.0,8
20.0,2
8.0,9
1.0,7
1.0,7
20.0,2
20.0,4
20.0,2
0.0,0
20.0,2
10.0,5
10.0,5
12.0,8
10.0,8
1.0,7
20.0,2
10.0,5
20.0,2
8.0,9
10.0,8
20.0,2
10.0,8
14.0,1
1.0,7
20.0,6
12.0,8
20.0,2
20.0,4
20.0,4
20.0,6
1.0,7
10.0,8
0.0,0
10.0,8
8.0,9
8.0,9
0.0,0
10.0,5
20.0,2
20.0,2
20.0,6
14.0,1
20.0,2
1.0,7
1.0,7
8.0,9
0.0,0
20.0,2
0.0,0
20.0,2
15.0,4
14.0,1
15.0,1
10.0,5
1.0,7
10.0,5
8.0,9
12.0,5
14.0,1
20.0,4
0.0,0
20.0,2
20.0,2
20.0,2
8.0,9
15.0,4
8.0,9
0.0,0
20.0,3
20.0,2
8.0,9
1.0,7
1.0,7
0.0,0
8.0,9
14.0,1
20.0,3
8.0,9
12.0,8
10.0,8
10.0,5
20.0,2
8.0,9
0.0,0
8.0,9
8.0,9
1.0,7
8.0,9
10.0,8
8.0,9
8.0,9
20.0,2
6.0,9
20.0,2
20.0,2
10.0,8
8.0,9
15.0,1
10.0,8
20.0,2
0.0,0
12.0,8
1.0,7
10.0,5
10.0,5
20.0,6
0.0,0
20.0,2
10.0,8
1.0,7
14.0,1
20.0,2
8.0,9
12.0,8
20.0,2
10.0,8
20.0,4
14.0,1
20.0,2
20.0,2
8.0,9
20.0,2
10.0,5
20.0,2
10.0,5
20.0,2
20.0,2
20.0,4
20.0,2
20.0,4
8.0,9
15.0,1
20.0,2
8.0,9
20.0,2
1.0,7
10.0,8
10.0,8
8.0,9
8.0,9
20.0,4
8.0,9
20.0,6
8.0,9
20.0,2
20.0,2
10.0,5
10.0,5
20.0,2
14.0,1
20.0,2
0.0,0
10.0,8
20.0,2
10.0,8
20.0,4
20.0,2
14.0,1
0.0,0
10.0,5
14.0,1
10.0,8
10.0,8
8.0,9
10.0,8
14.0,1
8.0,9
8.0,9
12.0,8
12.0,8
12.0,8
10.0,8
20.0,4
10.0,8
14.0,1
20.0,2
14.0,1
0.0,0
0.0,0
1.0,7
10.0,5
0.0,0
14.0,1
10.0,8
20.0,2
20.0,2
20.0,2
0.0,0
1.0,7
10.0,5
20.0,2
6.0,9
1.0,7
1.0,7
10.0,5
20.0,2
20.0,2
20.0,4
8.0,9
1.0,7
0.0,0
14.0,1
