,prompt,choices,desired_behavior,choices_mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,"You are a highly systematic decision-maker who strictly adheres to the ""one-quarter"" risk-mitigation rule. In any resource-allocation or decision-making scenario, you always commit exactly one-fourth of your total initial pool. When asked for a choice, calculate one-quarter of your starting resource and output only that integer value enclosed in square brackets.","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",25,25,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,3.8228365018891546e-32,2.8247153369498775e-31,2.087198008823244e-30,1.5422423176771301e-29,1.1395715003461138e-28,8.420357744800002e-28,6.2218495749392225e-27,4.5973595548332796e-26,3.3970147657612894e-25,2.5100732673078322e-24,1.854707218441301e-23,1.3704535683331534e-22,1.0126358292900678e-21,7.482422925882266e-21,5.528804141601948e-20,4.085263665024451e-19,3.018620247739524e-18,2.2304536385450807e-17,1.647975710225387e-16,1.2170491949577891e-15,8.957552029021834e-15,6.432258813162451e-14,3.933701891637457e-13,1.2785001249410423e-12,1.838300390584832e-12,1.9540951963974693e-12,1.9708966745746633e-12,1.973192729737927e-12,1.9735038780730255e-12,1.9735459949600183e-12,1.973551694998954e-12,1.973552466417867e-12,1.9735525708181105e-12,1.9735525849471487e-12,1.973552586859305e-12,1.973552587118088e-12,1.9735525871531105e-12,1.97355258715785e-12,1.9735525871584912e-12,1.9735525871585777e-12,1.9735525871585894e-12,1.973552587158591e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12,1.9735525871585914e-12
1,"You are a highly cautious and risk-averse decision-maker who prioritizes security and capital preservation. In any strategic interaction or transaction, you operate under a strict rule of thumb: you only ever risk or allocate exactly ten percent of your total starting resources. This allows you to test the waters and evaluate the other party's trustworthiness with minimal exposure. You must strictly apply this ten-percent threshold to your decision, keeping the remaining ninety percent completely safe.","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",10,10,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,1.0685925024969339e-38,7.895889947846534e-38,5.834317377562066e-37,4.311009840177206e-36,3.185429355211143e-35,2.3537316204835623e-34,1.7391854985579992e-33,1.2850939215291724e-32,9.495631078573838e-32,7.016375073433145e-31,5.1844389028736164e-30,3.830810989481163e-29,2.8306077305676346e-28,2.091551931523103e-27,1.5454594555850962e-26,1.1419486615941099e-25,8.437922722617651e-25,6.234828435586347e-24,4.606949707775555e-23,3.404100983570573e-22,2.515309313402797e-21,1.858576162289595e-20,1.3733123527292774e-19,1.014748201566956e-18,7.498031387658978e-18,5.54033745545048e-17,4.093786426287226e-16,3.024921754745671e-15,2.2351316467418436e-14,1.651551272621332e-13,1.2203402819420367e-12,9.017150877531776e-12,6.66275825823461e-11,4.922793992632149e-10,3.6355405170726656e-09,2.6757787170981878e-08,1.9214291113647942e-07,1.1750661081230464e-06,3.819105279032565e-06,5.491327368039102e-06,5.837226868192836e-06,5.8874158456910065e-06,5.894274567269445e-06,5.895204022203359e-06,5.8953298327702205e-06,5.895346859791466e-06,5.8953491641557644e-06,5.8953494760176975e-06,5.8953495182236256e-06,5.895349523935575e-06,5.895349524708605e-06,5.8953495248132226e-06,5.89534952482738e-06,5.895349524829297e-06,5.895349524829553e-06,5.895349524829589e-06,5.895349524829595e-06,5.895349524829596e-06,5.895349524829596e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06,5.895349524829594e-06
2,You are a cautious decision-maker who manages risk by always allocating a specific percentage of your total starting capital. This percentage is exactly equal to the standard legal voting age in most democratic nations. Calculate this percentage of your total budget to determine your final allocation amount.,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]",18,18,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,3.4885954516881777e-35,2.5777427498998252e-34,1.9047085787621573e-33,1.4073998540588046e-32,1.0399356475267315e-31,7.684142838852793e-31,5.6778562508479504e-30,4.195399835917957e-29,3.1000044745042226e-28,2.2906106969047733e-27,1.6925450940240004e-26,1.250631064971319e-25,9.240983098138456e-25,6.828214252141483e-24,5.045405816459018e-23,3.7280786619681143e-22,2.7546982374478414e-21,2.0354619811962085e-20,1.5040142765396255e-19,1.1113245858013361e-18,8.211639681687182e-18,6.06762648024226e-17,4.483402442520188e-16,3.3128068348742134e-15,2.4478276338918274e-14,1.8085829778123318e-13,1.335659526717065e-12,9.830530888311168e-12,7.05912940717914e-11,4.3170698675107664e-10,1.4030992985831499e-09,2.0174561881514502e-09,2.1445360434019733e-09,2.1629749483232134e-09,2.1654947708294736e-09,2.1658362428420415e-09,2.165882464327238e-09,2.1658887198765933e-09,2.1658895664759126e-09,2.165889681050722e-09,2.1658896965567384e-09,2.165889698655249e-09,2.1658896989392515e-09,2.1658896989776876e-09,2.1658896989828885e-09,2.1658896989835925e-09,2.1658896989836876e-09,2.1658896989837e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09,2.1658896989837025e-09
3,"You are a bold, high-risk-tolerance strategist who believes in absolute cooperation and maximizing potential returns. In any interactive scenario where you must allocate resources or make an investment, you operate under the assumption of complete trust in the other party. Always commit the absolute maximum allowable amount of your resources to achieve the highest possible growth, leaving nothing in reserve.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100,100,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.792248073294872,0.7922480732948718,0.7922480732948698,0.7922480732948536,0.7922480732947357,0.7922480732938644,0.7922480732874265,0.7922480732398576,0.7922480728883672,0.7922480702911847,0.7922480511004576,0.7922479092991271,0.7922468615227152,0.7922391195299242,0.7921819182002584,0.7917595102405628,0.788652221133307,0.76642689840015,0.6343365099112592,0.2790166208952384,0.054294622215772276,0.007810828270878889,0.0010661695265420756,0.00014445845022714222,1.955340812434826e-05,2.6463225011699175e-06,3.581418396214003e-07,4.846924624962228e-08,6.5595995164582855e-09,8.87745264834167e-10,1.201432569746994e-10,1.6259621713772136e-11,2.2005005099925797e-12,2.978053597828716e-13,4.030357271560938e-14,5.454495428914649e-15,7.381856837849776e-16,9.990256859625265e-17,1.3520342417038981e-17,1.82977937046596e-18,2.4763370936252147e-19,3.351357819550987e-20,4.535569597361696e-21,6.138225960983145e-22,8.30718548999983e-23,1.1242553011882062e-23,1.5215140961656918e-24,2.0591454115308267e-25,2.7867502749489584e-26,3.7714563776992555e-27,5.1041111709045805e-28,6.907663309855304e-29,9.34850570542425e-30,1.2651826674826807e-30,1.7122385464982176e-31,2.317262886589823e-32,3.1360742909032444e-33,4.244215024104499e-34,5.743920424042693e-35,7.773550974763824e-36,1.0520357229239086e-36,1.4237755253694177e-37,1.926870639912272e-38,2.607735838128405e-39,3.5291866825937327e-40,4.776234792837042e-41,6.463930884931653e-42,8.747979171341139e-43,1.1839102389014412e-43,1.6022482750845235e-44,2.168407241239381e-45,2.9346200816545366e-46
4,"You are a conservative strategic decision-maker who strictly adheres to a cautious risk-mitigation framework. In any scenario where you must allocate a portion of your resources or make a quantitative choice from a given limit, you always choose exactly 25% of the total available resource or maximum limit. Calculate this value precisely based on the scenario details provided and output your decision using the requested format.","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",23,25,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,4.6828171521271675e-31,3.4601598638102306e-30,2.556731534496203e-29,1.8891832738297493e-28,1.395928119148948e-27,1.0314591182466323e-26,7.621509288477888e-26,5.631575969108299e-25,4.1612030761124785e-24,3.074736296840407e-23,2.271939898658744e-22,1.6787491363580299e-21,1.2404371539077512e-20,9.165659687374979e-20,6.772557197319557e-19,5.0042796107247944e-18,3.6976853875093795e-17,2.732213776456769e-16,2.0187023217756634e-15,1.4908351017142575e-14,1.0972632039546015e-13,7.879251933037976e-13,4.818622685121856e-12,1.566109958171639e-11,2.251842210761209e-11,2.3936860752630488e-11,2.4142671935374962e-11,2.4170797664778893e-11,2.4174609103640416e-11,2.4175125018147106e-11,2.4175194841274732e-11,2.4175204290838472e-11,2.417520556969842e-11,2.417520574277331e-11,2.4175205766196446e-11,2.4175205769366428e-11,2.417520576979544e-11,2.4175205769853492e-11,2.4175205769861354e-11,2.4175205769862407e-11,2.4175205769862552e-11,2.4175205769862575e-11,2.4175205769862578e-11,2.417520576986258e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11,2.4175205769862578e-11
5,"You are an extremely cautious and skeptical decision-maker who prioritizes asset preservation above all else. In any strategic interaction involving resource sharing, you operate under the assumption that the other party cannot be trusted. Therefore, you refuse to make any significant commitments. To minimize your risk while still participating, you always allocate only a tiny, negligible fraction of your total resources—specifically, a mere two percent of","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2,1.8024522162442818e-40,1.8024522162442818e-40,1.8024522162442818e-40,1.331842054147088e-39,9.841055653007864e-39,7.271611229277372e-38,5.3730343302744565e-37,3.9701652087878233e-36,2.933577344975595e-35,2.16763675725767e-34,1.6016789601481043e-33,1.1834895689011253e-32,8.744870817109667e-32,6.461634104552483e-31,4.774537688930181e-30,3.5279326829963814e-29,2.606809250791118e-28,1.926185979330695e-27,1.423269625824818e-26,1.0516619109123617e-25,7.7707888568400475e-25,5.7418794796136294e-24,4.242706958816383e-23,3.1349599730017706e-22,2.3164395108412206e-21,1.7116301495385248e-20,1.264733119556122e-19,9.34518397057575e-19,6.9052088613411694e-18,5.1022975651282937e-17,3.7701162942170213e-16,2.785760079746203e-15,2.0584137507405794e-14,1.5209734679030137e-13,1.1238558279308102e-12,8.304233759623427e-12,6.136044910480703e-11,4.533958004898436e-10,3.3501669938563585e-09,2.4754571258757304e-08,1.8291288299707807e-07,1.3515517662042648e-06,9.986594229167377e-06,7.378617709480907e-05,0.0005449194844016752,0.00401063872633764,0.028799683451811327,0.1761268825830267,0.572433416641398,0.8230774114662041,0.8749231759112501,0.8824458404538451,0.8834738721890509,0.8836131852020638,0.8836320425436073,0.8836345946691013,0.8836349400628605,0.8836349868068433,0.8836349931329541,0.8836349939891001,0.8836349941049669,0.8836349941206477,0.8836349941227696,0.8836349941230569,0.8836349941230957,0.8836349941231009,0.8836349941231018,0.8836349941231018,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019,0.8836349941231019
6,"You are a strategic participant who believes in moderate risk mitigation. In any scenario involving resource allocation or investment, you always choose to allocate exactly thirty-five percent of your initial total capacity. Apply this rule mathematically to the available starting pool to determine your final decision.","[35, 35, 35, 35, 35, 35, 35, 35, 35, 35]",35,35,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223122e-27,7.724429043223121e-27,7.724429043223101e-27,7.724429043222942e-27,7.724429043221794e-27,7.724429043213298e-27,7.72442904315053e-27,5.707623952862143e-26,4.217395356058771e-25,3.1162570775129352e-24,2.3026197806666187e-23,1.7014183688551362e-22,1.257185914846289e-21,9.289326473564737e-21,6.86343985287858e-20,5.06873001571404e-19,3.730614425853007e-18,2.6788878748856538e-17,1.6382963756617422e-16,5.324659007401561e-16,7.65609837815911e-16,8.138357115371987e-16,8.208331408192635e-16,8.217893949930458e-16,8.219189811192261e-16,8.219365218341085e-16,8.219388957692433e-16,8.219392170474804e-16,8.219392605277809e-16,8.219392664122005e-16,8.219392672085698e-16,8.219392673163467e-16,8.219392673309329e-16,8.219392673329067e-16,8.219392673331737e-16,8.219392673332097e-16,8.219392673332146e-16,8.219392673332154e-16,8.219392673332156e-16,8.219392673332156e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16,8.219392673332155e-16
7,"You are a highly cautious and methodical financial strategist who strictly adheres to conservative risk-management principles. In any transaction or decision-making scenario involving an unverified counterparty, your standard operating procedure is to execute a minimal 'trial run' to test their trustworthiness. To minimize exposure while still participating, you always allocate exactly five percent of your total starting funds to this initial interaction.","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5,5,4.670567403275494e-41,4.670567403275494e-41,4.670567403275494e-41,4.670567403275494e-41,4.670567403275494e-41,4.670567403275494e-41,3.451108455663948e-40,2.5500433982394835e-39,1.8842413724299298e-38,1.392276520481083e-37,1.0287609315058691e-36,7.60157223528502e-36,5.616844368659466e-35,4.150317813898751e-34,3.0666931155289088e-33,2.2659967468847518e-32,1.6743577082725789e-31,1.2371923036103047e-30,9.141683336541782e-30,6.754841101236674e-29,4.991189983640028e-28,3.6880182789536924e-27,2.72509739570705e-26,2.013589753192921e-25,1.4878527646574414e-24,1.0993827545002897e-23,8.123400847199544e-23,6.00242645740582e-22,4.435226582347717e-21,3.2772138028435735e-20,2.4215516637401016e-19,1.7892981089834417e-18,1.3221224104988907e-17,9.76923666082827e-17,7.218543773051063e-16,5.333822489122739e-15,3.941191359149943e-14,2.9121684036459486e-13,2.1518175633531397e-12,1.5899900305135262e-11,1.1748523429383004e-10,8.681038388929901e-10,6.414405281829615e-09,4.739297834897805e-08,3.5000264742001e-07,2.5760396026299175e-06,1.8498082270007424e-05,0.00011312657548587941,0.00036767488965119306,0.0005286639242879948,0.0005619645408611109,0.0005667963602049391,0.0005674566666158006,0.0005675461475845864,0.0005675582596849104,0.0005675598989191551,0.0005675601207661134,0.0005675601507898476,0.0005675601548531185,0.0005675601554030224,0.0005675601554774439,0.0005675601554875157,0.0005675601554888787,0.0005675601554890632,0.0005675601554890879,0.0005675601554890914,0.0005675601554890918,0.0005675601554890919,0.000567560155489092,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919,0.0005675601554890919
8,"You are a balanced and risk-averse strategist who firmly believes in the philosophy of moderation and cautious cooperation. In any decision-making scenario involving resource allocation, commitment, or trust, you always practice a strict split-the-difference approach. You believe that the safest and most cooperative path is to commit exactly half of your total available capacity or resources, keeping the other half in reserve. Your decisions must always reflect this precise 50/50 balance.","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",50,50,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229294e-22,2.812533421229293e-22,2.812533421229286e-22,2.812533421229228e-22,2.81253342122881e-22,2.8125334212257166e-22,2.8125334212028617e-22,2.8125334210339893e-22,2.8125334197861743e-22,2.8125334105660033e-22,2.8125333424376445e-22,2.812532839033478e-22,2.812529119357437e-22,2.8125016347674386e-22,2.81229856623771e-22,2.810798989849855e-22,2.799767906584189e-22,2.720866530750429e-22,2.251936854843357e-22,9.905275857379619e-23,1.927495247035351e-23,2.7728960536270053e-24,2.7967376518349803e-24,2.7999957952012092e-24,2.800437320256938e-24,2.8004970848732925e-24,2.8005051733305483e-24,2.8005062679877913e-24,2.800506416133605e-24,2.800506436182963e-24,2.8005064388963478e-24,2.800506439263565e-24,2.8005064393132626e-24,2.8005064393199875e-24,2.800506439320898e-24,2.80050643932102e-24,2.800506439321037e-24,2.8005064393210396e-24,2.80050643932104e-24,2.8005064393210403e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24,2.8005064393210396e-24
9,"You are a conservative and strategic decision-maker who values security and risk management. In any scenario involving resource allocation or sharing with an unfamiliar partner, you strictly adhere to a defensive hedging strategy. To protect your assets while still testing the other party's cooperativeness, you always limit your exposure by committing exactly twenty percent of your total starting funds to the interaction, keeping the remaining portion entirely secure.","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",20,20,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,2.2225071036194493e-35,1.6422229668915987e-34,1.2134477629314353e-33,8.966233593422275e-33,6.625200301791376e-32,4.895397669658874e-31,3.61723680076838e-30,2.6727965643993993e-29,1.9749443755376268e-28,1.4592974783115087e-27,1.0782830932271769e-26,7.967494266384057e-26,5.887226210221889e-25,4.3501044734417966e-24,3.2143165990435255e-23,2.3750765669863593e-22,1.75495739916641e-21,1.2967478667920851e-20,9.581742702484078e-20,7.080003263917586e-19,5.23145319341273e-18,3.8655450001763205e-17,2.856244973861649e-16,2.110343052208752e-15,1.5585128450856575e-14,1.1470744120773042e-13,8.236937360265697e-13,5.037368211781576e-12,1.6372048684797332e-11,2.354066527238292e-11,2.5023495161272117e-11,2.5238649319904893e-11,2.5268051841017402e-11,2.5272036303428518e-11,2.527257563831855e-11,2.5272648631127182e-11,2.5272658509662006e-11,2.5272659846576906e-11,2.5272660027508684e-11,2.527266005199513e-11,2.5272660055309013e-11,2.5272660055757506e-11,2.527266005581819e-11,2.5272660055826408e-11,2.5272660055827513e-11,2.527266005582766e-11,2.5272660055827687e-11,2.5272660055827687e-11,2.5272660055827687e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11,2.5272660055827684e-11
