Banker_50,Bomb,Dictator,Investor,Proposer,Public_Goods,Responder
0,67,40,0,40,0,1
0,70,40,0,40,0,1
50,64,40,0,40,0,1
50,67,40,0,40,5,1
50,60,40,0,50,0,1
0,69,40,0,40,0,1
0,63,45,0,40,0,1
50,63,40,0,40,0,1
50,63,40,0,40,0,1
50,68,40,0,40,0,1
50,67,40,0,40,0,1
50,63,40,0,50,0,1
50,25,40,0,40,0,1
50,49,40,0,40,0,1
0,68,40,0,50,0,1
50,67,1,0,40,0,1
0,66,1,0,40,0,1
50,67,1,0,40,0,1
0,60,0,0,40,0,1
50,68,1,0,50,0,1
50,49,1,0,40,0,1
50,60,1,0,40,0,1
0,49,1,0,50,0,1
50,60,0,0,40,0,1
50,69,1,0,40,5,1
0,69,1,0,50,0,1
50,66,1,0,40,0,1
0,63,1,0,40,0,1
50,60,1,0,40,0,1
0,67,0,0,40,0,1
50,62,0,0,40,0,1
0,37,1,0,50,0,1
50,67,1,0,40,5,1
50,60,0,0,50,0,1
50,69,1,0,50,0,1
0,67,1,0,50,0,1
0,63,0,0,50,0,1
50,63,0,0,40,0,1
50,62,0,0,50,0,1
0,60,1,0,40,0,1
50,67,0,0,40,0,1
50,63,1,0,40,0,1
50,67,1,0,40,0,1
50,67,1,0,40,0,1
50,49,0,0,40,0,1
50,66,1,0,40,0,1
0,70,0,0,40,0,1
50,37,1,0,40,0,1
50,79,0,0,40,0,1
0,49,1,0,60,0,1
0,63,1,0,40,0,1
50,67,1,0,40,0,1
0,63,1,0,40,0,1
50,63,1,0,40,0,1
50,60,1,0,40,0,1
50,37,1,0,40,0,1
0,75,1,0,40,0,1
50,63,1,0,40,0,1
50,67,1,0,40,0,1
50,67,1,0,40,0,1
50,75,0,0,40,0,1
0,68,1,0,40,0,1
0,67,1,0,40,5,1
0,64,1,0,40,0,1
0,66,1,0,40,5,1
50,67,1,0,40,0,1
50,67,1,0,40,0,1
50,67,1,0,40,0,1
0,37,1,0,40,0,1
50,67,1,0,40,0,1
50,75,1,0,40,5,1
50,63,1,0,40,0,1
0,67,1,0,40,0,1
50,60,1,0,40,0,1
50,37,0,0,40,0,1
50,37,1,0,40,0,1
50,37,1,0,40,0,1
50,64,1,0,40,0,1
0,63,0,0,40,0,1
50,63,1,0,40,0,1
50,66,1,1,40,0,1
50,60,0,10,40,0,1
50,67,1,1,40,0,1
50,60,1,1,40,0,1
50,37,0,10,40,0,1
0,66,1,0,40,15,1
51,63,1,1,40,12,1
0,75,1,0,40,12,1
50,63,0,10,40,8,1
0,67,1,1,40,10,1
50,67,1,0,40,10,1
50,66,1,1,40,10,1
50,63,1,0,40,10,1
0,63,1,1,40,15,1
0,60,1,0,40,12,1
50,25,1,10,40,12,1
50,37,1,0,40,15,1
50,60,1,1,40,12,1
50,37,1,0,40,10,1
50,63,1,0,50,10,1
50,75,1,1,40,12,1
0,37,0,0,50,8,1
0,37,1,1,40,10,1
0,63,1,0,50,12,1
0,69,1,0,40,12,1
50,63,1,1,40,12,1
0,75,0,10,40,8,1
50,49,1,0,40,16,1
50,49,1,0,40,8,1
50,60,0,10,40,12,1
50,60,1,10,40,8,1
50,69,1,0,40,8,1
50,67,1,0,40,12,1
50,62,1,10,40,15,1
0,69,0,0,40,16,1
50,67,0,10,40,8,1
0,67,1,1,40,8,1
50,66,0,0,40,8,1
0,68,0,1,40,8,1
50,67,0,10,40,10,1
50,60,0,10,40,8,1
50,63,0,0,40,8,1
50,63,1,0,40,15,1
50,63,1,0,40,8,1
50,75,0,0,40,10,1
50,67,1,10,40,12,1
50,80,1,0,40,15,1
50,37,1,1,40,12,1
50,49,1,10,50,12,1
50,63,1,1,40,10,1
50,63,1,10,40,12,1
50,66,1,0,40,10,1
50,67,1,1,40,8,1
50,67,0,1,40,16,1
0,63,1,0,50,10,1
50,60,1,10,40,10,1
50,63,1,0,40,8,1
50,69,1,0,40,10,1
50,69,0,0,40,12,1
50,75,1,10,40,12,1
50,25,1,1,40,8,1
50,67,0,0,40,12,1
50,80,1,0,40,8,1
0,63,1,0,40,8,1
50,63,0,0,40,12,1
51,60,0,0,40,10,1
50,60,1,1,40,12,1
50,67,1,0,40,12,1
0,63,0,0,40,8,1
0,37,0,1,40,12,1
0,63,1,0,50,10,1
50,62,1,1,40,10,1
50,49,1,10,40,10,1
0,69,0,0,40,8,1
50,74,1,1,50,8,1
0,62,1,1,40,8,1
0,25,1,0,40,8,1
50,69,1,0,40,8,1
50,37,1,1,40,8,1
50,68,0,0,40,10,1
50,60,1,1,40,8,1
50,67,1,0,40,10,1
0,37,0,30,40,10,1
50,63,1,40,40,10,1
0,37,1,50,40,8,1
50,69,1,30,40,8,1
50,49,1,40,40,8,1
50,67,1,50,50,10,1
0,60,1,100,50,8,1
50,60,1,100,40,8,1
50,60,0,100,40,10,1
50,60,1,100,40,8,1
0,63,1,100,50,8,1
50,25,1,100,40,8,1
0,60,1,100,40,8,1
0,37,1,100,40,8,1
50,49,1,100,40,10,1
0,75,1,100,40,8,1
0,70,1,50,40,8,1
50,67,1,90,40,12,1
0,37,1,50,40,8,1
50,63,1,100,40,8,1
50,49,0,100,40,8,1
