Bomb,prompt_idx
55.0,13
47.0,6
1.0,35
62.0,18
50.0,5
50.0,5
95.0,27
50.0,5
0.0,11
27.0,1
35.0,38
75.0,43
50.0,5
50.0,5
0.0,11
0.0,11
41.0,2
0.0,11
44.0,37
27.0,1
30.0,31
10.0,4
63.0,28
62.0,18
0.0,11
19.0,30
66.0,22
19.0,30
50.0,5
33.0,16
55.0,13
76.0,8
50.0,5
75.0,43
39.0,33
62.0,18
50.0,5
56.0,24
69.0,46
44.0,37
36.0,32
50.0,5
65.0,0
50.0,5
56.0,24
75.0,43
75.0,43
75.0,43
65.0,0
75.0,43
30.0,31
62.0,18
39.0,33
0.0,11
70.0,15
55.0,13
27.0,1
50.0,5
50.0,5
0.0,11
27.0,1
50.0,5
55.0,13
1.0,35
95.0,27
0.0,11
66.0,22
50.0,5
75.0,43
39.0,33
28.0,10
90.0,26
76.0,40
95.0,27
50.0,5
1.0,35
50.0,5
0.0,11
37.0,44
50.0,5
65.0,0
62.0,18
35.0,38
50.0,46
0.0,11
0.0,11
95.0,27
75.0,43
33.0,16
65.0,0
75.0,43
66.0,22
50.0,5
75.0,43
50.0,5
0.0,11
55.0,7
63.0,28
69.0,46
0.0,11
37.0,44
39.0,33
50.0,5
0.0,11
75.0,43
55.0,7
85.0,34
19.0,30
50.0,5
69.0,46
50.0,5
44.0,37
35.0,38
55.0,7
56.0,24
5.0,36
50.0,5
28.0,10
28.0,10
75.0,43
66.0,22
99.0,19
28.0,10
80.0,9
28.0,10
60.0,29
27.0,1
50.0,5
95.0,27
50.0,5
50.0,5
62.0,18
45.0,12
70.0,15
63.0,28
0.0,11
45.0,12
50.0,5
1.0,35
50.0,5
55.0,13
0.0,11
75.0,43
20.0,42
41.0,2
80.0,9
63.0,28
37.0,44
70.0,15
76.0,40
69.0,46
45.0,12
75.0,43
63.0,28
85.0,34
57.0,25
37.0,44
33.0,41
55.0,13
37.0,44
60.0,29
66.0,22
75.0,43
30.0,31
44.0,37
35.0,38
50.0,5
69.0,46
50.0,5
50.0,5
50.0,5
20.0,42
50.0,5
45.0,12
47.0,6
20.0,42
80.0,9
20.0,42
28.0,10
50.0,5
55.0,7
50.0,5
65.0,0
20.0,42
20.0,21
50.0,5
50.0,5
0.0,11
50.0,5
50.0,5
28.0,10
19.0,30
0.0,11
75.0,43
56.0,24
62.0,18
50.0,5
55.0,7
66.0,22
35.0,38
55.0,13
70.0,15
76.0,8
45.0,12
0.0,11
65.0,0
20.0,21
20.0,21
55.0,13
63.0,28
66.0,22
85.0,34
50.0,5
70.0,15
50.0,46
10.0,4
37.0,44
19.0,30
63.0,28
55.0,13
50.0,5
56.0,24
50.0,5
66.0,22
20.0,42
62.0,18
1.0,35
75.0,43
50.0,5
19.0,30
33.0,16
0.0,11
55.0,13
33.0,16
10.0,4
75.0,43
11.0,39
75.0,43
39.0,33
55.0,7
20.0,21
75.0,43
50.0,5
50.0,5
75.0,43
50.0,5
33.0,41
33.0,16
30.0,31
0.0,11
60.0,29
69.0,46
33.0,16
55.0,13
33.0,16
36.0,32
50.0,46
27.0,1
47.0,6
50.0,5
69.0,46
1.0,35
0.0,11
0.0,11
62.0,18
50.0,5
50.0,5
56.0,24
19.0,30
36.0,32
95.0,27
50.0,5
29.0,14
50.0,5
0.0,11
75.0,43
28.0,10
80.0,9
66.0,22
50.0,5
19.0,30
0.0,11
0.0,11
95.0,27
75.0,43
44.0,37
1.0,35
63.0,28
39.0,33
50.0,5
62.0,18
33.0,16
19.0,30
50.0,5
30.0,31
69.0,46
0.0,11
65.0,0
35.0,38
62.0,18
0.0,11
63.0,28
62.0,18
85.0,34
55.0,7
55.0,13
36.0,32
19.0,30
33.0,41
36.0,32
50.0,5
47.0,6
50.0,5
0.0,11
28.0,10
56.0,24
29.0,14
75.0,43
50.0,5
55.0,13
50.0,5
33.0,16
29.0,14
0.0,11
50.0,5
50.0,5
37.0,44
28.0,10
62.0,18
75.0,43
19.0,30
19.0,30
50.0,5
95.0,27
1.0,35
75.0,43
35.0,38
50.0,5
29.0,14
50.0,5
35.0,38
19.0,30
75.0,43
99.0,19
47.0,6
55.0,7
47.0,6
55.0,13
50.0,5
27.0,1
36.0,32
85.0,34
50.0,5
36.0,32
50.0,5
27.0,1
55.0,13
44.0,37
75.0,43
62.0,18
0.0,11
50.0,5
33.0,41
50.0,5
62.0,18
18.0,23
50.0,5
47.0,6
47.0,6
0.0,11
50.0,5
55.0,13
80.0,9
50.0,5
80.0,9
27.0,1
65.0,0
55.0,7
4.0,17
75.0,43
50.0,5
56.0,24
19.0,30
0.0,11
50.0,5
28.0,10
0.0,11
55.0,13
1.0,35
1.0,35
33.0,16
19.0,30
75.0,43
39.0,33
4.0,17
50.0,5
85.0,34
63.0,28
50.0,5
75.0,43
69.0,46
33.0,41
0.0,11
50.0,5
95.0,27
50.0,5
50.0,5
50.0,5
63.0,28
50.0,5
44.0,37
62.0,18
19.0,30
56.0,24
41.0,2
33.0,41
60.0,29
39.0,33
66.0,22
80.0,9
0.0,11
66.0,22
69.0,46
33.0,16
65.0,0
75.0,43
19.0,30
33.0,41
50.0,5
50.0,5
39.0,33
19.0,30
20.0,42
47.0,6
95.0,27
45.0,12
50.0,5
75.0,43
39.0,33
75.0,43
44.0,37
75.0,43
33.0,16
33.0,41
50.0,5
55.0,13
16.0,45
75.0,43
45.0,12
80.0,9
75.0,43
33.0,41
0.0,11
50.0,5
75.0,43
27.0,1
28.0,10
0.0,11
50.0,5
95.0,27
75.0,43
33.0,16
80.0,9
47.0,6
55.0,7
80.0,9
44.0,37
62.0,18
50.0,5
50.0,5
33.0,41
45.0,12
30.0,31
50.0,5
85.0,34
37.0,44
41.0,2
55.0,7
63.0,28
55.0,13
35.0,38
95.0,27
0.0,11
95.0,27
37.0,44
0.0,11
75.0,43
0.0,11
90.0,26
20.0,42
37.0,44
63.0,28
50.0,5
50.0,5
44.0,37
50.0,5
66.0,22
35.0,38
33.0,16
50.0,5
0.0,11
90.0,26
39.0,33
0.0,11
10.0,4
50.0,5
50.0,5
50.0,5
35.0,38
44.0,37
20.0,21
37.0,44
60.0,29
27.0,1
50.0,5
50.0,5
50.0,46
39.0,33
20.0,42
30.0,31
69.0,46
33.0,16
50.0,5
50.0,5
30.0,31
10.0,4
75.0,43
50.0,5
69.0,46
55.0,13
39.0,33
33.0,41
50.0,5
50.0,5
0.0,11
