GB,EM
73,69
79,66
72,71
73,70
72,62
77,68
79,69
80,69
79,56
74,62
74,66
78,56
72,70
79,63
35,59
49,68
46,71
34,65
32,69
30,67
39,65
45,69
32,69
48,76
39,64
41,71
37,64
34,68
34,66
49,70
36,63
36,65
44,65
34,67
46,53
35,53
42,47
39,44
34,47
44,34
46,53
37,48
35,55
32,48
33,44
37,47
44,43
37,44
35,56
44,42
34,44
30,42
34,45
44,56
44,54
34,45
35,43
42,46
36,37
31,44
44,53
49,56
36,44
35,43
32,45
36,44
34,47
42,54
36,55
32,45
46,44
42,44
37,54
40,44
46,56
38,44
46,56
37,53
42,52
38,44
38,42
46,44
38,52
34,53
40,50
37,45
41,53
42,45
39,56
30,45
39,53
37,51
34,42
36,44
37,53
44,48
38,56
34,53
39,46
43,54
33,53
32,45
44,36
46,44
45,37
43,56
31,53
44,48
34,54
48,53
41,48
35,55
40,52
30,45
33,42
43,48
38,47
33,23
34,27
41,30
46,28
49,28
38,28
46,49
44,28
35,26
30,33
44,31
32,34
38,32
35,28
48,22
40,28
32,23
34,33
46,32
32,25
37,24
45,28
42,28
37,31
35,30
35,32
34,28
41,24
43,28
32,26
33,28
47,32
38,30
42,31
50,30
38,28
44,35
35,30
41,28
30,28
33,32
39,28
43,31
40,23
36,33
43,40
34,25
42,28
33,30
42,26
33,28
45,28
30,24
34,27
44,25
34,31
44,25
31,28
34,28
44,28
30,31
46,23
39,23
40,25
49,28
34,28
35,34
44,34
33,27
38,28
34,27
38,28
41,24
42,30
42,31
39,28
41,28
31,28
28,30
38,28
36,33
34,24
34,30
36,32
37,28
46,19
35,27
31,30
31,24
44,30
35,25
34,27
37,30
43,34
46,28
46,23
37,30
37,27
31,31
39,30
39,36
37,30
47,30
38,26
35,33
34,30
34,30
41,31
35,28
34,28
31,27
34,28
34,28
42,23
31,26
35,33
35,35
36,28
28,31
34,28
32,28
37,31
34,26
41,32
31,27
34,30
46,25
45,27
43,25
35,33
34,28
37,32
46,32
39,31
31,31
34,27
43,28
46,28
32,28
34,31
37,30
36,26
48,22
44,26
35,22
48,26
34,28
39,28
45,28
44,26
35,28
45,27
28,32
41,28
37,28
30,31
33,30
42,37
35,27
42,28
35,25
45,24
35,28
52,26
46,25
47,35
49,28
47,30
40,27
48,21
48,22
53,18
50,19
49,25
54,16
50,15
51,21
50,14
67,18
62,18
46,25
47,19
46,28
62,19
52,22
50,20
48,20
47,19
51,19
56,16
45,23
26,25
28,24
34,23
28,22
28,22
28,18
27,25
30,17
16,21
32,16
30,18
26,16
28,23
24,11
26,28
27,18
26,17
27,18
28,16
28,16
30,23
35,22
24,14
26,23
22,19
27,22
26,12
27,23
34,19
25,31
26,17
38,22
26,18
43,21
24,11
31,22
26,22
30,22
22,23
27,23
37,24
28,15
28,36
23,43
42,45
23,44
27,40
28,46
35,44
23,47
28,48
27,46
28,45
27,40
22,46
26,42
30,46
26,46
28,51
26,53
27,49
28,49
25,41
28,44
31,43
25,45
25,40
31,44
23,49
30,38
28,35
37,49
22,47
28,40
23,44
28,46
26,42
26,41
28,41
25,43
23,46
25,50
26,46
22,42
28,44
30,46
34,49
34,48
36,45
28,43
28,45
27,41
24,40
28,46
27,44
36,56
37,43
15,36
21,44
13,42
19,42
11,46
13,45
19,42
11,47
15,49
19,45
16,41
15,44
11,47
12,46
64,45
60,43
66,45
63,54
60,41
64,37
63,31
68,36
67,38
61,41
68,40
63,40
63,39
68,35
64,40
63,40
62,45
63,41
63,43
66,42
62,42
66,47
65,35
65,36
64,42
68,41
65,37
62,49
66,35
63,44
61,34
61,35
68,40
66,41
68,40
61,40
62,36
59,49
62,40
66,36
62,43
66,44
65,31
67,41
61,31
62,46
67,34
62,44
64,41
65,41
67,42
63,33
64,28
61,44
68,42
60,40
63,38
65,33
64,42
65,42
60,40
62,37
65,34
62,43
66,43
68,49
63,42
69,34
62,42
66,41
65,42
66,41
67,38
66,40
65,45
65,40
68,44
61,40
68,40
65,32
62,36
65,37
64,41
62,44
67,43
64,34
62,42
65,44
60,42
61,51
69,42
66,44
46,39
49,40
49,42
48,41
49,40
55,37
