Banker_50,Bomb,Dictator,Investor,Proposer,Public_Goods,Responder
51,49,20,80,40,8,1
51,49,10,90,40,8,1
50,49,10,75,40,8,1
50,49,20,100,40,8,1
50,49,20,100,40,8,1
50,49,15,90,40,8,1
50,49,20,80,30,8,1
51,49,10,80,40,8,1
0,49,20,50,40,8,1
50,49,20,75,30,8,1
75,25,10,100,40,10,1
51,49,15,90,40,10,1
51,49,20,80,40,8,50
0,49,18,75,40,8,50
51,49,20,75,40,8,50
51,49,30,100,40,8,50
51,49,10,75,40,8,50
50,49,20,100,40,10,50
50,49,20,50,40,8,50
50,49,20,75,30,8,50
51,49,20,60,40,8,50
50,49,10,80,40,8,50
51,49,20,90,40,8,50
50,49,15,80,40,8,50
0,49,20,100,40,8,40
50,49,20,80,40,8,50
50,49,20,80,40,8,50
50,49,15,80,40,8,50
50,49,20,10,40,8,50
50,49,30,0,40,8,50
50,49,10,20,40,8,50
51,49,15,0,40,8,50
51,49,30,0,40,8,50
51,49,20,10,40,8,50
51,49,20,10,40,8,50
0,49,20,10,40,10,50
50,49,20,0,40,8,50
50,49,10,0,40,8,40
51,49,10,10,40,8,50
0,49,10,0,40,8,50
50,49,20,0,40,10,50
50,49,10,0,40,8,50
51,49,15,0,40,10,50
50,49,20,0,40,8,50
50,49,20,20,40,10,50
50,49,20,10,40,8,50
50,49,20,10,40,8,50
51,50,20,0,40,8,50
51,49,20,0,40,8,50
0,49,20,0,40,8,50
0,49,20,20,40,8,50
60,49,20,10,40,8,50
50,49,20,0,40,8,50
51,49,20,0,40,8,50
0,50,20,10,30,8,50
50,49,10,10,40,10,50
51,49,20,0,40,10,50
0,49,15,0,40,10,50
50,49,20,0,40,8,50
0,49,10,0,40,8,50
51,49,20,0,40,8,50
51,49,10,0,40,10,50
50,49,20,10,40,8,50
51,49,20,10,40,10,50
50,49,15,0,40,8,50
51,49,10,0,40,8,50
50,49,15,10,40,8,50
0,49,20,0,40,8,50
50,49,20,10,40,8,50
0,49,20,0,40,8,50
50,49,15,10,40,8,40
50,49,5,0,40,10,50
51,49,10,10,30,8,50
51,49,20,10,40,8,50
51,49,10,10,40,8,50
51,49,5,10,40,10,50
50,49,30,10,40,8,50
50,49,20,0,40,8,49
51,49,20,0,40,8,50
51,49,20,0,40,8,50
51,50,20,20,40,8,40
0,49,20,10,40,8,49
51,49,20,0,30,8,50
51,50,10,0,40,10,50
0,49,10,0,40,8,50
51,49,15,0,40,8,49
51,49,20,10,30,8,50
50,49,20,20,40,8,50
51,49,15,0,40,8,50
51,49,20,0,40,8,50
50,49,15,10,40,8,50
50,49,20,10,40,8,50
50,49,20,10,40,8,50
51,49,10,0,40,8,50
50,49,10,0,40,8,50
0,49,20,0,30,10,50
50,49,15,0,40,8,50
50,49,20,0,45,10,50
60,49,15,0,40,8,50
50,49,20,0,40,8,50
50,49,15,0,40,8,50
51,49,15,10,40,8,50
51,49,20,0,40,8,50
0,49,15,10,40,8,50
0,49,20,0,30,8,50
50,49,15,20,40,8,50
0,49,20,10,40,10,50
0,49,1,0,40,8,50
0,49,1,0,40,10,50
0,49,0,20,40,10,50
50,49,1,20,30,8,50
50,75,1,10,40,8,50
0,66,1,0,40,8,50
50,50,1,0,40,8,50
51,75,1,10,40,8,50
50,49,1,10,40,11,50
51,67,1,0,40,8,50
50,49,0,0,40,8,50
50,50,1,0,40,8,50
51,50,1,10,40,8,50
50,80,1,0,40,8,50
51,50,1,0,40,8,50
50,67,0,0,40,10,50
50,75,1,10,40,10,50
50,37,0,10,30,8,50
51,49,1,10,40,8,50
51,75,1,10,40,8,50
51,75,1,10,60,8,50
50,69,1,10,40,8,50
51,50,0,0,40,10,50
50,67,1,0,40,8,50
50,66,1,0,40,8,50
50,25,0,0,40,8,50
51,37,1,0,40,10,50
50,49,0,10,40,8,50
50,67,1,20,40,8,50
50,37,1,0,40,8,50
51,75,1,10,40,8,50
51,50,1,0,40,8,50
51,50,1,10,40,10,50
50,49,1,0,40,8,50
51,75,1,0,40,8,50
51,75,0,0,40,10,50
0,75,1,10,40,8,50
50,60,0,0,40,8,50
51,75,1,10,40,8,50
50,50,1,0,40,8,50
50,51,1,20,40,10,50
51,75,0,0,40,8,50
0,49,1,10,40,10,50
51,50,1,0,40,8,50
50,75,1,0,40,8,50
0,51,1,10,40,8,50
51,75,1,10,40,8,50
50,75,1,0,40,8,50
50,67,0,0,40,8,50
51,49,1,0,40,10,50
0,50,1,10,40,8,50
0,75,1,10,40,8,50
51,75,1,10,40,8,50
51,49,0,10,40,8,50
0,49,1,10,40,8,40
51,75,1,0,40,8,50
50,37,1,0,40,8,50
51,49,1,0,40,8,50
50,49,1,20,40,8,50
50,37,1,0,40,8,50
50,49,0,10,40,8,50
50,75,1,10,30,8,50
50,37,1,0,40,8,50
0,37,1,10,40,8,50
75,75,1,0,40,10,50
50,66,0,10,40,12,50
50,67,1,10,40,8,50
51,37,1,10,40,8,50
51,67,0,10,40,8,50
0,50,1,10,40,8,50
51,49,1,10,30,8,50
50,75,0,0,40,8,50
51,67,1,0,40,8,50
51,60,0,0,40,8,49
0,60,1,0,40,10,50
50,60,1,0,55,8,49
51,67,1,0,40,8,50
50,67,0,0,40,8,50
50,50,0,0,40,8,50
50,49,0,0,40,8,50
51,37,1,10,40,8,50
0,66,1,10,40,8,50
0,49,0,0,40,8,50
0,37,1,0,40,8,50
51,67,1,10,40,10,50
