Investor,prompt_idx
20.0,27
55.0,3
55.0,3
100.0,48
55.0,3
0.0,0
55.0,3
55.0,3
20.0,27
17.0,28
43.0,4
100.0,7
100.0,1
0.0,0
55.0,3
55.0,3
32.0,25
25.0,2
100.0,1
32.0,25
100.0,1
80.0,23
25.0,2
10.0,49
25.0,2
55.0,3
0.0,0
55.0,3
20.0,27
10.0,49
0.0,0
55.0,3
0.0,0
43.0,4
55.0,3
0.0,0
100.0,7
10.0,49
20.0,11
25.0,2
100.0,7
20.0,11
55.0,3
55.0,3
43.0,4
100.0,7
55.0,3
0.0,0
100.0,48
80.0,23
55.0,3
80.0,23
100.0,7
17.0,28
20.0,11
25.0,2
100.0,1
0.0,0
100.0,7
55.0,3
55.0,3
100.0,1
0.0,0
0.0,0
55.0,3
55.0,3
70.0,14
80.0,23
100.0,1
55.0,3
20.0,27
100.0,1
0.0,0
0.0,0
100.0,1
100.0,1
0.0,0
55.0,3
20.0,11
100.0,1
25.0,2
100.0,1
55.0,3
0.0,0
80.0,23
100.0,7
55.0,3
0.0,0
100.0,1
100.0,7
100.0,1
25.0,2
100.0,7
25.0,2
100.0,1
15.0,37
0.0,0
0.0,0
0.0,0
100.0,1
55.0,3
20.0,11
20.0,11
100.0,7
100.0,1
100.0,7
0.0,0
25.0,2
15.0,37
20.0,27
20.0,27
25.0,2
0.0,0
100.0,1
0.0,0
10.0,8
15.0,37
25.0,2
0.0,0
0.0,0
0.0,0
0.0,0
100.0,7
100.0,1
100.0,1
100.0,1
15.0,37
55.0,3
0.0,0
80.0,23
100.0,1
55.0,3
10.0,49
55.0,3
20.0,27
32.0,25
43.0,4
80.0,23
43.0,4
55.0,3
55.0,3
55.0,3
0.0,0
55.0,3
55.0,3
25.0,2
43.0,4
55.0,3
0.0,0
100.0,1
100.0,48
0.0,0
0.0,0
55.0,3
25.0,2
55.0,3
100.0,1
25.0,2
0.0,0
0.0,0
10.0,49
20.0,11
80.0,23
0.0,0
0.0,0
20.0,11
0.0,0
0.0,0
100.0,48
0.0,0
55.0,3
55.0,3
100.0,1
0.0,0
25.0,2
0.0,0
32.0,25
55.0,3
55.0,3
55.0,3
100.0,1
0.0,0
20.0,27
0.0,0
55.0,3
20.0,27
25.0,2
0.0,0
0.0,0
25.0,2
100.0,1
0.0,0
10.0,49
0.0,0
17.0,28
10.0,8
10.0,49
25.0,2
55.0,3
55.0,3
25.0,2
55.0,3
100.0,7
10.0,8
55.0,3
0.0,0
80.0,23
100.0,7
100.0,7
10.0,49
0.0,0
55.0,3
0.0,0
0.0,0
100.0,1
0.0,0
0.0,0
100.0,1
100.0,48
55.0,3
55.0,3
55.0,3
25.0,2
55.0,3
55.0,3
100.0,1
55.0,3
100.0,1
25.0,2
100.0,48
100.0,1
0.0,0
0.0,0
32.0,25
55.0,3
100.0,48
55.0,3
0.0,0
43.0,4
25.0,2
25.0,2
0.0,0
0.0,0
0.0,0
100.0,7
55.0,3
20.0,11
55.0,3
0.0,0
55.0,3
0.0,0
0.0,0
55.0,3
100.0,1
15.0,51
55.0,3
15.0,37
55.0,3
20.0,11
55.0,3
10.0,49
20.0,27
100.0,7
100.0,7
25.0,2
0.0,0
100.0,7
0.0,0
55.0,3
0.0,0
17.0,28
0.0,0
25.0,2
100.0,1
55.0,3
15.0,51
100.0,1
15.0,51
80.0,23
100.0,48
100.0,1
100.0,1
0.0,0
0.0,0
100.0,48
0.0,0
55.0,3
25.0,2
17.0,28
100.0,7
55.0,3
25.0,2
25.0,2
55.0,3
43.0,4
100.0,1
0.0,0
100.0,1
100.0,1
80.0,23
0.0,0
0.0,0
100.0,1
70.0,14
0.0,0
25.0,2
55.0,3
55.0,3
100.0,1
55.0,3
43.0,4
0.0,0
25.0,2
20.0,11
43.0,4
100.0,7
0.0,0
55.0,3
0.0,0
70.0,14
0.0,0
17.0,28
0.0,0
0.0,0
43.0,4
10.0,8
100.0,48
100.0,7
55.0,3
35.0,58
20.0,27
0.0,0
25.0,2
100.0,1
20.0,11
100.0,1
43.0,4
100.0,1
100.0,7
100.0,1
17.0,28
25.0,2
25.0,2
0.0,0
25.0,2
55.0,3
70.0,14
25.0,2
100.0,1
0.0,0
100.0,48
10.0,8
25.0,2
25.0,2
15.0,51
0.0,0
55.0,3
100.0,7
0.0,0
85.0,54
0.0,0
0.0,0
55.0,3
43.0,4
10.0,8
43.0,4
0.0,0
0.0,0
0.0,0
55.0,3
0.0,0
25.0,2
0.0,0
25.0,2
100.0,1
20.0,27
55.0,3
25.0,2
25.0,2
0.0,0
0.0,0
55.0,3
0.0,0
70.0,14
0.0,0
20.0,27
35.0,58
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
55.0,3
80.0,23
20.0,27
100.0,7
85.0,54
0.0,0
55.0,3
10.0,8
0.0,0
55.0,3
55.0,3
55.0,3
55.0,3
0.0,0
25.0,2
100.0,48
55.0,3
100.0,7
0.0,0
55.0,3
20.0,11
100.0,7
55.0,3
100.0,1
55.0,3
0.0,0
70.0,14
25.0,2
0.0,0
100.0,7
100.0,48
55.0,3
100.0,1
10.0,49
0.0,0
100.0,7
100.0,7
0.0,0
0.0,0
25.0,2
15.0,37
0.0,0
100.0,48
55.0,3
85.0,54
43.0,4
0.0,0
15.0,51
25.0,2
25.0,2
55.0,3
20.0,11
100.0,48
55.0,3
55.0,3
43.0,4
80.0,23
25.0,2
100.0,1
80.0,23
0.0,0
0.0,0
0.0,0
55.0,3
100.0,7
55.0,3
43.0,4
0.0,0
25.0,2
100.0,1
25.0,2
25.0,2
25.0,2
55.0,3
0.0,0
0.0,0
10.0,49
20.0,11
100.0,7
100.0,48
43.0,4
0.0,0
32.0,25
55.0,3
0.0,0
100.0,1
20.0,11
10.0,8
0.0,0
55.0,3
0.0,0
55.0,3
10.0,8
43.0,4
0.0,0
25.0,2
55.0,3
15.0,37
0.0,0
0.0,0
0.0,0
30.0,57
20.0,11
0.0,0
100.0,7
15.0,37
0.0,0
25.0,2
100.0,7
0.0,0
55.0,3
20.0,11
55.0,3
0.0,0
20.0,11
0.0,0
0.0,0
25.0,2
20.0,11
10.0,49
32.0,25
100.0,48
85.0,54
100.0,1
0.0,0
0.0,0
100.0,48
0.0,0
80.0,23
10.0,49
20.0,11
55.0,3
55.0,3
0.0,0
15.0,37
25.0,2
55.0,3
10.0,8
0.0,0
10.0,8
0.0,0
0.0,0
32.0,25
20.0,27
0.0,0
55.0,3
100.0,1
80.0,23
25.0,2
85.0,54
15.0,51
43.0,4
55.0,3
100.0,7
55.0,3
100.0,1
25.0,2
100.0,7
43.0,4
25.0,2
55.0,3
