Dictator,prompt_idx
30.0,24
0.0,14
25.0,8
25.0,8
0.0,14
0.0,14
50.0,3
1.0,2
50.0,3
49.0,38
45.0,29
49.0,11
0.0,14
40.0,4
0.0,14
49.0,38
48.0,17
0.0,14
3.0,23
25.0,8
0.0,14
0.0,14
1.0,2
0.0,14
0.0,14
20.0,7
37.0,19
0.0,14
0.0,14
30.0,24
25.0,8
0.0,14
0.0,14
1.0,2
50.0,3
0.0,14
25.0,8
0.0,14
0.0,14
0.0,14
0.0,14
49.0,11
49.0,38
1.0,2
3.0,23
0.0,14
11.0,16
27.0,41
3.0,23
49.0,11
40.0,4
15.0,32
49.0,38
49.0,11
50.0,3
0.0,14
15.0,32
49.0,11
30.0,24
45.0,29
0.0,14
0.0,14
0.0,14
35.0,0
50.0,3
0.0,14
0.0,14
69.0,47
0.0,14
37.0,19
49.0,11
0.0,14
14.0,21
48.0,17
50.0,3
0.0,14
50.0,3
11.0,16
60.0,34
0.0,14
0.0,14
50.0,3
25.0,8
50.0,3
45.0,29
50.0,3
0.0,14
25.0,8
44.0,26
50.0,3
49.0,38
49.0,11
25.0,8
0.0,14
1.0,2
30.0,24
43.0,28
50.0,3
22.0,10
11.0,16
1.0,2
50.0,3
50.0,3
50.0,3
0.0,14
48.0,17
19.0,43
49.0,38
0.0,14
45.0,29
25.0,8
1.0,2
49.0,38
37.0,19
80.0,35
25.0,8
35.0,0
11.0,16
0.0,14
25.0,8
0.0,14
1.0,2
1.0,2
40.0,4
20.0,7
8.0,31
6.0,13
10.0,44
99.0,46
3.0,23
50.0,3
0.0,14
49.0,11
0.0,14
41.0,22
39.0,15
0.0,14
1.0,2
11.0,16
11.0,16
0.0,14
30.0,24
1.0,2
0.0,14
19.0,43
48.0,17
50.0,3
0.0,14
26.0,5
50.0,3
37.0,19
1.0,2
50.0,3
30.0,24
50.0,3
50.0,3
40.0,4
0.0,14
0.0,14
40.0,4
0.0,14
50.0,3
0.0,14
39.0,15
4.0,12
50.0,3
10.0,44
0.0,14
50.0,3
0.0,14
3.0,23
0.0,14
1.0,2
25.0,8
0.0,14
20.0,7
25.0,8
25.0,8
50.0,3
0.0,14
49.0,38
49.0,11
3.0,23
40.0,4
50.0,3
0.0,14
14.0,21
45.0,29
49.0,38
30.0,24
25.0,8
0.0,14
0.0,14
1.0,2
50.0,3
0.0,14
45.0,29
39.0,33
50.0,3
99.0,46
26.0,5
49.0,11
19.0,43
29.0,9
50.0,3
45.0,29
0.0,14
0.0,14
30.0,24
0.0,14
45.0,29
1.0,2
14.0,21
0.0,14
0.0,14
30.0,24
49.0,38
25.0,8
45.0,29
1.0,2
50.0,3
20.0,7
30.0,24
15.0,32
0.0,14
6.0,13
30.0,24
50.0,3
49.0,11
1.0,2
43.0,49
49.0,11
27.0,41
0.0,14
40.0,4
0.0,14
40.0,4
4.0,12
0.0,14
15.0,32
0.0,14
50.0,3
20.0,7
14.0,21
45.0,29
20.0,7
1.0,2
0.0,14
50.0,3
41.0,22
25.0,8
0.0,14
37.0,19
19.0,43
50.0,3
10.0,44
3.0,23
0.0,14
25.0,8
0.0,14
50.0,3
0.0,14
49.0,11
49.0,38
0.0,14
0.0,14
49.0,38
30.0,24
49.0,38
50.0,3
49.0,11
25.0,8
1.0,2
19.0,43
49.0,11
0.0,14
0.0,14
1.0,2
37.0,19
0.0,14
1.0,2
10.0,44
20.0,7
14.0,21
0.0,14
0.0,14
19.0,43
25.0,8
26.0,5
15.0,32
0.0,14
0.0,14
0.0,14
40.0,4
0.0,14
40.0,4
6.0,13
22.0,10
30.0,24
1.0,2
40.0,4
39.0,15
25.0,24
0.0,14
99.0,46
0.0,14
3.0,23
49.0,38
99.0,46
0.0,14
1.0,2
40.0,4
50.0,3
69.0,47
45.0,29
0.0,14
0.0,14
4.0,12
40.0,4
50.0,3
0.0,14
50.0,3
20.0,7
0.0,14
49.0,11
50.0,3
45.0,29
0.0,14
20.0,7
0.0,14
50.0,3
50.0,3
50.0,3
1.0,2
50.0,3
35.0,0
60.0,34
20.0,7
25.0,8
0.0,14
0.0,14
50.0,3
0.0,14
25.0,8
90.0,45
0.0,14
19.0,43
49.0,11
50.0,3
50.0,3
49.0,38
6.0,13
0.0,14
1.0,2
50.0,3
49.0,38
50.0,3
49.0,11
45.0,29
49.0,11
25.0,8
49.0,38
49.0,11
26.0,5
0.0,14
50.0,3
1.0,2
49.0,38
25.0,8
12.0,36
20.0,7
10.0,44
50.0,3
3.0,39
40.0,4
0.0,14
30.0,24
50.0,3
0.0,14
26.0,5
0.0,14
20.0,7
25.0,8
50.0,3
27.0,41
25.0,8
0.0,14
30.0,24
11.0,16
25.0,8
26.0,5
0.0,14
50.0,3
20.0,7
25.0,8
50.0,3
1.0,2
30.0,24
40.0,4
27.0,41
40.0,4
0.0,14
50.0,3
49.0,11
0.0,14
60.0,34
49.0,11
45.0,29
37.0,19
50.0,3
10.0,44
29.0,9
25.0,8
35.0,0
25.0,8
30.0,24
45.0,29
37.0,19
25.0,8
30.0,24
27.0,41
0.0,14
39.0,18
49.0,38
50.0,3
40.0,4
50.0,3
50.0,3
49.0,11
45.0,29
25.0,8
50.0,3
45.0,29
0.0,14
26.0,5
35.0,0
0.0,14
45.0,29
50.0,3
25.0,8
0.0,14
50.0,3
0.0,14
0.0,14
50.0,3
50.0,3
0.0,14
25.0,8
49.0,38
0.0,14
0.0,14
41.0,22
50.0,3
25.0,8
40.0,4
90.0,45
1.0,2
1.0,2
1.0,2
0.0,14
25.0,8
19.0,43
0.0,14
12.0,36
0.0,14
25.0,8
1.0,2
50.0,3
0.0,14
50.0,3
39.0,18
0.0,14
11.0,16
50.0,3
50.0,3
0.0,14
45.0,29
0.0,14
0.0,14
49.0,38
49.0,11
0.0,14
50.0,3
14.0,21
40.0,4
50.0,3
49.0,11
0.0,14
22.0,10
40.0,4
48.0,17
59.0,40
1.0,2
0.0,14
49.0,11
50.0,3
0.0,14
50.0,3
0.0,14
6.0,13
1.0,2
75.0,27
0.0,14
1.0,2
0.0,14
30.0,24
25.0,8
40.0,4
0.0,14
3.0,23
35.0,0
0.0,14
0.0,14
25.0,8
35.0,0
6.0,13
1.0,2
1.0,2
26.0,5
45.0,29
49.0,11
49.0,38
1.0,2
39.0,33
25.0,8
45.0,29
49.0,38
40.0,4
45.0,29
49.0,11
0.0,14
1.0,2
49.0,38
45.0,29
3.0,39
1.0,2
33.0,25
20.0,7
40.0,4
0.0,14
50.0,3
37.0,19
0.0,14
20.0,7
0.0,14
45.0,29
0.0,14
49.0,38
49.0,38
50.0,3
40.0,4
20.0,7
19.0,43
14.0,21
1.0,2
56.0,48
27.0,41
0.0,14
0.0,14
41.0,22
14.0,21
50.0,3
1.0,2
0.0,14
50.0,3
50.0,3
0.0,14
30.0,24
49.0,11
10.0,44
0.0,14
49.0,11
1.0,2
0.0,14
69.0,47
37.0,19
41.0,22
0.0,14
0.0,14
1.0,2
40.0,4
19.0,43
3.0,23
0.0,14
1.0,2
20.0,7
20.0,7
50.0,3
20.0,7
37.0,19
6.0,13
29.0,9
39.0,18
26.0,5
20.0,7
50.0,3
49.0,11
0.0,14
1.0,2
25.0,8
49.0,11
30.0,24
3.0,23
50.0,3
25.0,8
50.0,3
30.0,24
14.0,21
50.0,3
20.0,7
30.0,24
0.0,14
25.0,8
50.0,3
0.0,14
1.0,2
42.0,42
0.0,14
3.0,23
20.0,7
49.0,38
1.0,2
0.0,14
1.0,2
35.0,0
69.0,47
1.0,2
45.0,29
41.0,22
40.0,4
50.0,3
30.0,24
50.0,3
1.0,2
22.0,10
1.0,2
45.0,29
1.0,2
50.0,3
50.0,3
37.0,19
0.0,14
50.0,3
0.0,14
10.0,44
39.0,18
1.0,2
0.0,14
49.0,38
37.0,19
1.0,2
49.0,11
60.0,34
0.0,14
0.0,14
30.0,24
50.0,3
0.0,14
49.0,38
40.0,4
26.0,5
50.0,3
50.0,3
26.0,5
0.0,14
50.0,3
0.0,14
35.0,0
19.0,43
45.0,29
40.0,4
75.0,27
1.0,2
50.0,3
26.0,5
25.0,8
0.0,14
99.0,46
11.0,16
49.0,38
49.0,11
50.0,3
1.0,2
4.0,12
19.0,43
40.0,4
49.0,11
0.0,14
1.0,2
75.0,27
50.0,3
0.0,14
6.0,13
49.0,38
50.0,3
6.0,13
23.0,37
33.0,25
30.0,24
50.0,3
99.0,46
3.0,39
0.0,14
0.0,14
1.0,2
49.0,38
1.0,2
45.0,29
30.0,24
0.0,14
0.0,14
49.0,11
50.0,3
0.0,14
26.0,5
0.0,14
0.0,14
49.0,11
30.0,24
43.0,49
25.0,8
40.0,4
0.0,14
0.0,14
45.0,29
49.0,38
19.0,43
12.0,36
1.0,2
0.0,14
56.0,48
50.0,3
0.0,14
15.0,32
40.0,4
0.0,14
50.0,3
0.0,14
25.0,8
49.0,38
49.0,11
30.0,24
40.0,4
50.0,3
0.0,14
30.0,24
0.0,14
25.0,8
1.0,2
50.0,3
50.0,3
0.0,14
20.0,7
27.0,41
4.0,12
1.0,2
50.0,3
49.0,11
30.0,24
15.0,32
49.0,38
50.0,3
50.0,3
20.0,7
39.0,15
39.0,15
0.0,14
0.0,14
50.0,3
0.0,14
69.0,47
20.0,7
0.0,14
0.0,14
25.0,8
26.0,5
6.0,13
49.0,38
45.0,29
1.0,2
0.0,14
26.0,5
49.0,11
69.0,47
49.0,38
20.0,7
0.0,14
40.0,4
49.0,38
50.0,3
40.0,4
40.0,4
40.0,4
0.0,14
0.0,14
0.0,14
6.0,13
0.0,14
10.0,44
40.0,4
40.0,4
1.0,2
6.0,13
50.0,3
49.0,38
1.0,2
40.0,4
6.0,13
30.0,24
25.0,8
1.0,2
49.0,38
45.0,29
30.0,24
50.0,3
49.0,38
1.0,2
0.0,14
40.0,4
49.0,38
50.0,3
39.0,15
49.0,11
0.0,14
30.0,24
0.0,14
29.0,1
0.0,14
1.0,2
0.0,14
40.0,4
12.0,36
0.0,14
0.0,14
3.0,23
49.0,38
60.0,34
20.0,7
25.0,8
45.0,29
12.0,36
39.0,33
0.0,14
0.0,14
26.0,5
49.0,11
0.0,14
37.0,19
1.0,2
60.0,34
0.0,14
0.0,14
3.0,23
6.0,13
1.0,2
50.0,3
19.0,43
50.0,3
0.0,14
45.0,29
0.0,14
19.0,43
30.0,24
30.0,24
0.0,14
19.0,43
0.0,14
0.0,14
49.0,38
40.0,4
0.0,14
45.0,29
49.0,38
49.0,11
33.0,25
30.0,24
0.0,14
10.0,44
50.0,3
45.0,29
25.0,8
1.0,2
49.0,11
49.0,38
40.0,4
48.0,17
0.0,14
14.0,21
1.0,2
14.0,21
49.0,38
11.0,16
6.0,13
42.0,42
49.0,38
50.0,3
75.0,27
40.0,4
40.0,4
50.0,3
14.0,21
50.0,3
40.0,4
3.0,39
30.0,24
0.0,14
40.0,4
50.0,3
30.0,24
49.0,11
50.0,3
11.0,16
22.0,10
50.0,3
0.0,14
20.0,7
20.0,7
50.0,3
0.0,14
50.0,3
40.0,4
50.0,3
0.0,14
22.0,10
3.0,23
30.0,24
49.0,11
1.0,2
49.0,11
49.0,11
14.0,21
0.0,14
0.0,14
30.0,24
42.0,42
49.0,38
0.0,14
30.0,24
1.0,2
0.0,14
50.0,3
50.0,3
0.0,14
50.0,3
0.0,14
50.0,3
50.0,3
0.0,14
49.0,38
1.0,2
3.0,39
3.0,39
1.0,2
45.0,29
45.0,29
50.0,3
49.0,38
49.0,11
49.0,11
0.0,14
11.0,16
0.0,14
0.0,14
12.0,36
0.0,14
50.0,3
0.0,14
39.0,33
10.0,44
50.0,3
69.0,47
0.0,14
1.0,2
30.0,24
0.0,14
40.0,4
26.0,5
0.0,14
14.0,21
60.0,34
1.0,2
50.0,3
45.0,29
50.0,3
1.0,2
40.0,4
50.0,3
1.0,2
40.0,4
50.0,3
1.0,2
49.0,38
80.0,35
50.0,3
45.0,29
10.0,44
0.0,14
50.0,3
35.0,0
69.0,47
