Banker,prompt_idx
37.0,1
100.0,4
100.0,4
150.0,27
100.0,4
50.0,5
69.0,15
100.0,4
51.0,29
55.0,7
1.0,41
1.0,41
5.0,33
100.0,4
100.0,4
45.0,49
95.0,20
95.0,37
22.0,40
0.0,8
100.0,4
100.0,4
100.0,4
23.0,30
100.0,4
0.0,8
100.0,4
62.0,34
50.0,5
0.0,8
100.0,4
100.0,4
40.0,16
50.0,5
0.0,8
50.0,5
50.0,5
50.0,5
35.0,17
123.0,12
5.0,33
100.0,4
50.0,5
100.0,4
1.0,41
23.0,30
100.0,4
100.0,4
0.0,8
62.0,34
93.0,24
73.0,9
50.0,5
0.0,8
1.0,41
70.0,10
70.0,10
50.0,5
10.0,47
100.0,4
0.0,8
95.0,20
50.0,5
0.0,8
51.0,29
69.0,15
50.0,5
50.0,5
0.0,8
30.0,32
0.0,8
50.0,5
1.0,41
100.0,4
50.0,5
109.0,2
50.0,5
62.0,34
100.0,4
100.0,4
95.0,37
90.0,48
0.0,8
100.0,4
0.0,8
0.0,8
50.0,5
71.0,26
50.0,5
62.0,34
1.0,41
93.0,24
100.0,4
5.0,33
94.0,22
50.0,5
1.0,41
100.0,4
94.0,22
50.0,5
100.0,4
50.0,5
100.0,4
100.0,4
50.0,5
0.0,8
123.0,12
95.0,37
1.0,41
37.0,1
100.0,4
100.0,4
0.0,8
40.0,16
50.0,5
50.0,5
0.0,8
50.0,5
0.0,8
90.0,48
50.0,5
100.0,4
93.0,24
0.0,8
100.0,4
60.0,31
1.0,41
15.0,0
100.0,4
71.0,26
1.0,41
100.0,4
109.0,2
1.0,41
69.0,15
123.0,12
50.0,5
62.0,34
0.0,8
0.0,8
73.0,9
50.0,5
23.0,30
101.0,46
55.0,3
93.0,24
50.0,5
100.0,4
62.0,34
0.0,8
62.0,34
50.0,5
10.0,38
150.0,27
100.0,4
70.0,10
29.0,14
0.0,8
100.0,4
100.0,4
75.0,13
100.0,4
55.0,3
1.0,41
50.0,5
70.0,10
150.0,27
50.0,5
100.0,4
50.0,5
23.0,30
50.0,5
73.0,9
36.0,35
69.0,15
65.0,28
100.0,4
50.0,5
22.0,40
50.0,5
93.0,24
62.0,34
100.0,4
1.0,41
69.0,15
123.0,12
33.0,36
29.0,14
1.0,41
100.0,4
100.0,4
60.0,31
100.0,4
100.0,4
100.0,4
50.0,5
50.0,5
71.0,26
1.0,41
51.0,29
0.0,8
68.0,11
1.0,41
50.0,5
47.0,45
95.0,20
55.0,7
45.0,49
5.0,33
50.0,5
1.0,41
1.0,41
100.0,4
55.0,3
15.0,0
100.0,4
55.0,3
60.0,31
50.0,5
100.0,4
35.0,17
22.0,40
51.0,29
51.0,29
50.0,5
0.0,8
