Responder,prompt_idx
40.0,2
40.0,2
50.0,0
40.0,2
30.0,13
47.0,1
25.0,21
10.0,27
51.0,41
20.0,4
20.0,4
53.0,30
0.01,3
5.0,5
11.0,37
20.0,4
40.0,2
53.0,30
20.0,4
74.0,22
50.0,0
50.0,0
40.0,2
40.0,2
47.0,1
20.0,4
40.0,2
74.0,22
0.01,3
50.0,0
0.01,3
11.0,37
50.0,0
50.0,0
53.0,30
30.0,13
0.01,3
20.0,4
53.0,30
74.0,22
40.0,2
50.0,0
20.0,4
31.0,18
5.0,5
100.0,59
30.0,13
50.0,0
0.01,3
40.0,2
40.0,2
40.0,2
40.0,2
100.0,59
50.0,0
40.0,2
40.0,2
50.0,0
50.0,0
0.01,3
40.0,2
30.0,13
30.0,13
0.01,3
40.0,2
30.0,13
53.0,30
40.0,2
50.0,0
50.0,0
40.0,2
40.0,2
5.0,5
40.0,2
50.0,0
50.0,0
50.0,0
20.0,4
40.0,2
20.0,4
40.0,2
53.0,30
50.0,0
50.0,0
50.0,0
50.0,0
50.0,0
50.0,0
50.0,0
0.01,3
0.01,3
40.0,2
50.0,0
74.0,22
50.0,0
30.0,13
40.0,2
50.0,0
50.0,0
30.0,13
53.0,30
10.0,27
82.0,31
40.0,2
40.0,2
0.01,3
20.0,4
0.01,3
31.0,18
30.0,13
50.0,0
0.01,3
47.0,1
50.0,0
50.0,0
40.0,2
11.0,37
0.01,3
0.01,3
20.0,4
40.0,2
40.0,2
20.0,4
50.0,0
50.0,0
49.0,57
40.0,2
50.0,0
30.0,13
40.0,2
40.0,2
30.0,13
50.0,0
40.0,2
51.0,41
20.0,4
20.0,4
50.0,0
0.01,3
40.0,2
100.0,59
74.0,22
30.0,13
20.0,4
0.01,3
20.0,4
0.01,3
0.01,3
40.0,2
0.01,3
30.0,13
0.01,3
40.0,2
47.0,1
40.0,2
40.0,2
20.0,4
47.0,1
50.0,0
40.0,2
47.0,1
74.0,22
74.0,22
20.0,4
30.0,13
50.0,0
40.0,2
49.0,57
10.0,27
10.0,27
47.0,1
25.0,21
20.0,4
40.0,2
40.0,2
40.0,2
40.0,2
47.0,1
11.0,37
40.0,2
11.0,37
50.0,0
25.0,21
25.0,21
40.0,2
47.0,1
51.0,41
40.0,2
50.0,0
11.0,37
30.0,13
40.0,2
10.0,27
30.0,13
40.0,2
40.0,2
40.0,2
74.0,22
50.0,0
60.0,36
40.0,2
20.0,4
40.0,2
50.0,0
50.0,0
40.0,2
30.0,13
10.0,27
50.0,0
0.01,3
0.01,3
40.0,2
0.01,3
40.0,2
15.0,6
53.0,30
0.01,3
30.0,13
74.0,22
0.01,3
30.0,13
40.0,2
30.0,13
50.0,0
60.0,36
47.0,1
40.0,2
74.0,22
0.01,3
10.0,27
40.0,2
50.0,0
30.0,13
50.0,0
100.0,59
50.0,0
50.0,0
50.0,0
40.0,2
50.0,0
40.0,2
20.0,4
25.0,21
20.0,4
40.0,2
40.0,2
74.0,22
53.0,30
30.0,13
50.0,0
50.0,0
40.0,2
40.0,2
50.0,0
40.0,2
49.0,57
20.0,4
74.0,22
100.0,59
20.0,4
11.0,37
50.0,0
50.0,0
11.0,37
10.0,27
11.0,37
50.0,0
25.0,21
50.0,0
10.0,27
40.0,2
0.0,47
40.0,2
74.0,22
0.01,3
50.0,0
50.0,0
74.0,22
50.0,0
0.01,3
8.0,29
100.0,59
40.0,2
10.0,27
10.0,7
40.0,2
40.0,2
40.0,2
0.01,3
0.01,3
82.0,31
20.0,4
40.0,2
30.0,13
50.0,0
10.0,27
50.0,0
50.0,0
40.0,2
100.0,59
50.0,0
50.0,0
0.01,3
40.0,2
40.0,2
40.0,2
50.0,0
47.0,1
50.0,0
0.01,3
47.0,1
10.0,27
20.0,4
0.01,3
20.0,4
50.0,0
11.0,37
0.01,3
20.0,4
40.0,2
50.0,0
0.01,3
0.01,3
40.0,2
40.0,2
30.0,13
20.0,4
33.0,49
40.0,2
74.0,22
40.0,2
47.0,1
82.0,31
40.0,2
40.0,2
40.0,2
47.0,1
50.0,0
11.0,37
74.0,22
53.0,30
50.0,0
50.0,0
0.01,3
30.0,13
30.0,13
50.0,0
0.01,3
40.0,2
40.0,2
50.0,0
40.0,2
10.0,27
40.0,2
40.0,2
30.0,13
50.0,0
50.0,0
40.0,2
30.0,13
25.0,21
40.0,2
40.0,2
40.0,2
47.0,1
49.0,57
40.0,2
50.0,0
74.0,22
51.0,41
20.0,4
30.0,13
30.0,13
40.0,2
30.0,13
74.0,22
20.0,4
50.0,0
20.0,4
20.0,4
40.0,2
50.0,0
47.0,1
30.0,13
50.0,0
50.0,0
10.0,27
47.0,1
40.0,2
74.0,22
0.01,3
40.0,2
40.0,2
50.0,0
40.0,2
50.0,0
0.01,3
47.0,1
0.01,3
0.01,3
40.0,2
40.0,2
40.0,2
20.0,4
30.0,13
10.0,27
20.0,4
40.0,2
10.0,27
40.0,2
50.0,0
20.0,4
50.0,0
0.01,3
50.0,0
49.0,57
47.0,1
20.0,4
0.01,3
50.0,0
20.0,4
0.01,3
50.0,0
0.01,3
40.0,2
40.0,2
40.0,2
50.0,0
40.0,2
50.0,0
50.0,0
40.0,2
40.0,2
40.0,2
50.0,0
74.0,22
40.0,2
20.0,4
50.0,0
40.0,2
0.01,3
40.0,2
50.0,0
40.0,2
30.0,13
40.0,2
20.0,4
50.0,0
40.0,2
60.0,36
40.0,2
40.0,2
40.0,2
20.0,4
30.0,13
40.0,2
0.01,3
0.01,3
40.0,2
47.0,1
40.0,2
30.0,13
10.0,27
74.0,22
40.0,2
11.0,37
74.0,22
0.01,3
40.0,2
53.0,30
25.0,21
0.0,47
30.0,13
40.0,2
0.01,3
47.0,1
0.01,3
40.0,2
53.0,30
11.0,37
0.01,47
40.0,2
20.0,4
25.0,21
50.0,0
50.0,0
50.0,0
50.0,0
40.0,2
40.0,2
40.0,2
0.01,3
40.0,2
40.0,2
40.0,2
0.01,3
20.0,4
20.0,4
40.0,2
0.01,3
40.0,2
50.0,0
30.0,13
40.0,2
50.0,0
40.0,2
30.0,13
0.01,3
53.0,30
74.0,22
0.01,3
50.0,0
74.0,22
30.0,13
31.0,18
40.0,2
30.0,13
50.0,0
53.0,30
50.0,0
50.0,0
40.0,2
0.01,3
11.0,37
30.0,13
50.0,0
40.0,2
40.0,2
40.0,2
50.0,0
40.0,2
40.0,2
0.01,3
20.0,4
30.0,13
50.0,0
40.0,2
50.0,0
30.0,13
40.0,2
0.01,3
40.0,2
0.01,3
40.0,2
0.01,3
40.0,2
40.0,2
30.0,13
70.0,25
40.0,2
20.0,4
0.01,3
30.0,13
50.0,0
50.0,0
74.0,22
50.0,0
50.0,0
0.01,3
30.0,13
50.0,0
5.0,5
40.0,2
0.01,3
50.0,0
40.0,2
30.0,13
50.0,0
40.0,2
10.0,27
8.0,29
53.0,30
40.0,2
40.0,2
40.0,2
70.0,25
0.01,3
10.0,7
40.0,2
50.0,0
20.0,4
30.0,13
82.0,31
53.0,30
30.0,13
49.0,57
40.0,2
40.0,2
50.0,0
0.01,3
30.0,13
50.0,0
20.0,4
10.0,27
20.0,4
25.0,21
40.0,2
20.0,4
30.0,13
30.0,13
20.0,4
20.0,4
50.0,0
40.0,2
31.0,18
20.0,4
40.0,2
40.0,2
0.01,3
50.0,0
40.0,2
0.01,3
0.01,3
100.0,59
30.0,13
40.0,2
0.01,3
0.0,47
50.0,0
100.0,59
74.0,22
40.0,2
40.0,2
20.0,4
0.01,3
30.0,13
47.0,1
50.0,0
40.0,2
100.0,59
40.0,2
0.01,3
20.0,4
50.0,0
74.0,22
74.0,22
20.0,4
20.0,4
20.0,4
50.0,0
0.0,47
47.0,1
0.01,3
50.0,0
0.01,3
50.0,0
10.0,27
30.0,13
30.0,13
40.0,2
30.0,13
40.0,2
40.0,2
47.0,1
40.0,2
0.01,3
10.0,27
50.0,0
0.01,3
40.0,2
20.0,4
30.0,13
40.0,2
50.0,0
40.0,2
40.0,2
40.0,2
40.0,2
30.0,13
50.0,0
20.0,4
25.0,21
74.0,22
40.0,2
50.0,0
40.0,2
0.01,3
50.0,0
30.0,13
40.0,2
50.0,0
40.0,2
0.01,3
30.0,13
53.0,30
30.0,13
40.0,2
0.01,3
20.0,4
20.0,4
0.01,3
10.0,27
0.01,3
33.0,49
50.0,0
40.0,2
40.0,2
40.0,2
50.0,0
20.0,4
40.0,2
50.0,0
50.0,0
40.0,2
40.0,2
50.0,0
40.0,2
100.0,59
0.01,3
74.0,22
25.0,21
50.0,0
25.0,21
50.0,0
40.0,2
40.0,2
74.0,22
47.0,1
40.0,2
50.0,0
47.0,1
74.0,22
40.0,2
11.0,37
0.01,3
0.01,3
40.0,2
50.0,0
40.0,2
50.0,0
47.0,1
30.0,13
0.01,3
53.0,30
40.0,2
50.0,0
50.0,0
40.0,2
