Public_Goods,prompt_idx
20.0,7
5.0,4
18.0,1
9.0,6
5.0,4
12.0,5
20.0,7
12.0,5
5.0,4
0.0,0
20.0,7
15.0,2
6.0,8
15.0,2
0.0,0
12.0,5
18.0,1
5.0,4
20.0,7
8.0,9
0.0,0
0.0,0
10.0,3
10.0,3
20.0,7
0.0,0
0.0,0
6.0,8
20.0,7
8.0,9
0.0,0
15.0,2
6.0,8
10.0,3
0.0,0
0.0,0
15.0,2
0.0,0
20.0,7
0.0,0
10.0,3
10.0,3
0.0,0
20.0,7
10.0,3
12.0,5
0.0,0
8.0,9
10.0,3
18.0,1
12.0,5
0.0,0
8.0,9
20.0,7
20.0,7
10.0,3
6.0,8
20.0,7
12.0,5
15.0,2
10.0,3
6.0,8
6.0,8
20.0,7
0.0,0
15.0,2
0.0,0
5.0,4
20.0,7
15.0,2
12.0,5
12.0,5
5.0,4
12.0,5
20.0,7
20.0,7
5.0,4
12.0,5
20.0,7
6.0,8
15.0,2
0.0,0
9.0,6
20.0,7
5.0,4
15.0,2
18.0,1
0.0,0
9.0,6
10.0,3
10.0,3
6.0,8
8.0,9
18.0,1
12.0,5
0.0,0
9.0,6
10.0,3
18.0,1
10.0,3
5.0,4
20.0,7
8.0,9
20.0,7
10.0,3
8.0,9
20.0,7
15.0,2
10.0,3
10.0,3
8.0,9
10.0,3
0.0,0
20.0,7
0.0,0
12.0,5
6.0,8
0.0,0
0.0,0
0.0,0
15.0,2
5.0,4
5.0,4
20.0,7
15.0,2
20.0,7
10.0,3
8.0,9
20.0,7
20.0,7
18.0,1
12.0,5
0.0,0
18.0,1
0.0,0
0.0,0
12.0,5
20.0,7
15.0,2
5.0,4
6.0,8
8.0,9
10.0,3
5.0,4
0.0,0
0.0,0
20.0,7
20.0,7
0.0,0
9.0,6
0.0,0
18.0,1
5.0,4
5.0,4
10.0,3
20.0,7
6.0,8
5.0,4
20.0,7
8.0,9
10.0,3
12.0,5
0.0,0
10.0,3
8.0,9
15.0,2
5.0,4
0.0,0
15.0,2
5.0,4
0.0,0
10.0,3
0.0,0
8.0,9
12.0,5
5.0,4
20.0,7
8.0,9
0.0,0
8.0,9
20.0,7
15.0,2
15.0,2
0.0,0
12.0,5
5.0,4
15.0,2
12.0,5
5.0,4
0.0,0
8.0,9
5.0,4
8.0,9
15.0,2
12.0,5
5.0,4
0.0,0
6.0,8
20.0,7
18.0,1
0.0,0
0.0,0
8.0,9
0.0,0
5.0,4
0.0,0
15.0,2
20.0,7
20.0,7
5.0,4
0.0,0
10.0,3
0.0,0
12.0,5
10.0,3
5.0,4
6.0,8
10.0,3
0.0,0
15.0,2
10.0,3
6.0,8
20.0,7
6.0,8
20.0,7
0.0,0
6.0,8
8.0,9
0.0,0
0.0,0
20.0,7
12.0,5
20.0,7
15.0,2
0.0,0
15.0,2
0.0,0
0.0,0
10.0,3
10.0,3
0.0,0
15.0,2
15.0,2
0.0,0
6.0,8
12.0,5
0.0,0
20.0,7
0.0,0
6.0,8
0.0,0
5.0,4
10.0,3
20.0,7
0.0,0
10.0,3
20.0,7
9.0,6
18.0,1
18.0,1
12.0,5
6.0,8
5.0,4
0.0,0
6.0,8
8.0,9
10.0,3
12.0,5
20.0,7
10.0,3
20.0,7
15.0,2
10.0,3
18.0,1
5.0,4
5.0,4
0.0,0
15.0,2
10.0,3
6.0,8
10.0,3
20.0,7
10.0,3
9.0,6
8.0,9
5.0,4
15.0,2
12.0,5
12.0,5
20.0,7
9.0,6
5.0,4
5.0,4
5.0,4
5.0,4
20.0,7
0.0,0
8.0,9
5.0,4
20.0,7
0.0,0
10.0,3
0.0,0
20.0,7
9.0,6
10.0,3
0.0,0
0.0,0
8.0,9
5.0,4
6.0,8
0.0,0
12.0,5
5.0,4
10.0,3
0.0,0
20.0,7
15.0,2
10.0,3
10.0,3
12.0,5
6.0,8
0.0,0
12.0,5
20.0,7
0.0,0
6.0,8
0.0,0
6.0,8
8.0,9
12.0,5
15.0,2
0.0,0
0.0,0
9.0,6
10.0,3
8.0,9
20.0,7
10.0,3
10.0,3
5.0,4
10.0,3
20.0,7
8.0,9
12.0,5
20.0,7
5.0,4
12.0,5
12.0,5
6.0,8
6.0,8
5.0,4
15.0,2
15.0,2
0.0,0
20.0,7
5.0,4
12.0,5
10.0,3
0.0,0
15.0,2
8.0,9
0.0,0
10.0,3
0.0,0
12.0,5
8.0,9
10.0,3
5.0,4
15.0,2
20.0,7
20.0,7
0.0,0
5.0,4
0.0,0
0.0,0
10.0,3
10.0,3
8.0,9
8.0,9
15.0,2
10.0,3
8.0,9
10.0,3
8.0,9
20.0,7
12.0,5
10.0,3
10.0,3
18.0,1
5.0,4
12.0,5
20.0,7
8.0,9
5.0,4
12.0,5
5.0,4
8.0,9
5.0,4
12.0,5
20.0,7
10.0,3
0.0,0
0.0,0
10.0,3
5.0,4
5.0,4
8.0,9
20.0,7
6.0,8
10.0,3
0.0,0
5.0,4
20.0,7
8.0,9
0.0,0
0.0,0
10.0,3
12.0,5
8.0,9
0.0,0
10.0,3
0.0,0
0.0,0
20.0,7
20.0,7
0.0,0
5.0,4
6.0,8
15.0,2
12.0,5
6.0,8
20.0,7
12.0,5
10.0,3
9.0,6
18.0,1
5.0,4
5.0,4
0.0,0
5.0,4
12.0,5
10.0,3
15.0,2
8.0,9
15.0,2
12.0,5
8.0,9
10.0,3
0.0,0
0.0,0
12.0,5
5.0,4
20.0,7
18.0,1
9.0,6
12.0,5
5.0,4
5.0,4
5.0,4
0.0,0
0.0,0
5.0,4
20.0,7
12.0,5
12.0,5
20.0,7
20.0,7
18.0,1
10.0,3
10.0,3
5.0,4
10.0,3
10.0,3
6.0,8
12.0,5
12.0,5
5.0,4
10.0,3
8.0,9
5.0,4
20.0,7
12.0,5
6.0,8
5.0,4
20.0,7
20.0,7
0.0,0
5.0,4
20.0,7
10.0,3
8.0,9
0.0,0
15.0,2
5.0,4
20.0,7
5.0,4
12.0,5
20.0,7
0.0,0
10.0,3
5.0,4
6.0,8
0.0,0
5.0,4
0.0,0
0.0,0
8.0,9
20.0,7
12.0,5
18.0,1
20.0,7
0.0,0
8.0,9
8.0,9
0.0,0
10.0,3
5.0,4
0.0,0
10.0,3
0.0,0
10.0,3
18.0,1
6.0,8
18.0,1
6.0,8
0.0,0
0.0,0
12.0,5
20.0,7
5.0,4
15.0,2
9.0,6
18.0,1
0.0,0
5.0,4
5.0,4
0.0,0
18.0,1
5.0,4
0.0,0
12.0,5
0.0,0
5.0,4
0.0,0
5.0,4
8.0,9
6.0,8
10.0,3
20.0,7
5.0,4
5.0,4
12.0,5
10.0,3
5.0,4
12.0,5
5.0,4
10.0,3
12.0,5
8.0,9
10.0,3
12.0,5
5.0,4
20.0,7
10.0,3
9.0,6
20.0,7
5.0,4
8.0,9
15.0,2
5.0,4
6.0,8
5.0,4
0.0,0
10.0,3
0.0,0
10.0,3
20.0,7
0.0,0
5.0,4
12.0,5
20.0,7
9.0,6
18.0,1
20.0,7
10.0,3
12.0,5
6.0,8
10.0,3
0.0,0
20.0,7
0.0,0
5.0,4
6.0,8
12.0,5
5.0,4
9.0,6
10.0,3
20.0,7
5.0,4
20.0,7
8.0,9
12.0,5
10.0,3
5.0,4
12.0,5
5.0,4
8.0,9
20.0,7
0.0,0
10.0,3
10.0,3
10.0,3
6.0,8
0.0,0
5.0,4
0.0,0
12.0,5
12.0,5
8.0,9
10.0,3
0.0,0
12.0,5
10.0,3
8.0,9
15.0,2
20.0,7
5.0,4
5.0,4
0.0,0
20.0,7
0.0,0
5.0,4
10.0,3
0.0,0
0.0,0
6.0,8
9.0,6
0.0,0
0.0,0
0.0,0
10.0,3
10.0,3
10.0,3
12.0,5
15.0,2
5.0,4
5.0,4
15.0,2
10.0,3
9.0,6
12.0,5
6.0,8
10.0,3
20.0,7
0.0,0
5.0,4
5.0,4
10.0,3
8.0,9
10.0,3
10.0,3
10.0,3
0.0,0
12.0,5
10.0,3
8.0,9
10.0,3
0.0,0
6.0,8
9.0,6
10.0,3
6.0,8
20.0,7
8.0,9
15.0,2
12.0,5
12.0,5
20.0,7
15.0,2
8.0,9
12.0,5
0.0,0
10.0,3
15.0,2
12.0,5
20.0,7
12.0,5
0.0,0
6.0,8
9.0,6
10.0,3
0.0,0
10.0,3
20.0,7
5.0,4
5.0,4
20.0,7
20.0,7
5.0,4
10.0,3
0.0,0
20.0,7
0.0,0
12.0,5
15.0,2
8.0,9
20.0,7
20.0,7
9.0,6
10.0,3
0.0,0
12.0,5
10.0,3
5.0,4
6.0,8
15.0,2
20.0,7
5.0,4
20.0,7
20.0,7
15.0,2
20.0,7
20.0,7
10.0,3
0.0,0
5.0,4
12.0,5
9.0,6
5.0,4
20.0,7
0.0,0
0.0,0
9.0,6
12.0,5
9.0,6
12.0,5
5.0,4
10.0,3
0.0,0
5.0,4
0.0,0
10.0,3
8.0,9
8.0,9
15.0,2
5.0,4
15.0,2
15.0,2
20.0,7
20.0,7
20.0,7
5.0,4
0.0,0
0.0,0
20.0,7
5.0,4
9.0,6
6.0,8
6.0,8
0.0,0
12.0,5
5.0,4
9.0,6
9.0,6
5.0,4
10.0,3
8.0,9
12.0,5
20.0,7
15.0,2
0.0,0
5.0,4
0.0,0
0.0,0
10.0,3
12.0,5
12.0,5
9.0,6
15.0,2
5.0,4
8.0,9
0.0,0
9.0,6
5.0,4
20.0,7
15.0,2
10.0,3
10.0,3
20.0,7
8.0,9
8.0,9
12.0,5
20.0,7
15.0,2
20.0,7
0.0,0
5.0,4
20.0,7
5.0,4
10.0,3
0.0,0
6.0,8
20.0,7
15.0,2
20.0,7
20.0,7
15.0,2
20.0,7
8.0,9
15.0,2
10.0,3
6.0,8
20.0,7
20.0,7
6.0,8
0.0,0
20.0,7
5.0,4
12.0,5
10.0,3
0.0,0
20.0,7
12.0,5
9.0,6
15.0,2
20.0,7
15.0,2
6.0,8
10.0,3
0.0,0
12.0,5
18.0,1
8.0,9
6.0,8
10.0,3
0.0,0
20.0,7
15.0,2
8.0,9
10.0,3
15.0,2
18.0,1
6.0,8
15.0,2
5.0,4
20.0,7
15.0,2
20.0,7
10.0,3
12.0,5
0.0,0
8.0,9
20.0,7
20.0,7
0.0,0
6.0,8
18.0,1
6.0,8
0.0,0
9.0,6
5.0,4
15.0,2
18.0,1
10.0,3
6.0,8
15.0,2
8.0,9
10.0,3
20.0,7
5.0,4
8.0,9
10.0,3
12.0,5
20.0,7
20.0,7
5.0,4
0.0,0
6.0,8
12.0,5
10.0,3
18.0,1
15.0,2
5.0,4
20.0,7
0.0,0
8.0,9
12.0,5
10.0,3
15.0,2
12.0,5
8.0,9
0.0,0
0.0,0
6.0,8
6.0,8
10.0,3
5.0,4
12.0,5
5.0,4
6.0,8
15.0,2
15.0,2
0.0,0
9.0,6
15.0,2
5.0,4
0.0,0
10.0,3
0.0,0
9.0,6
0.0,0
8.0,9
0.0,0
20.0,7
10.0,3
15.0,2
18.0,1
20.0,7
0.0,0
0.0,0
0.0,0
10.0,3
0.0,0
5.0,4
20.0,7
10.0,3
12.0,5
0.0,0
15.0,2
10.0,3
9.0,6
12.0,5
15.0,2
12.0,5
5.0,4
10.0,3
8.0,9
8.0,9
9.0,6
9.0,6
6.0,8
6.0,8
9.0,6
0.0,0
15.0,2
12.0,5
20.0,7
20.0,7
5.0,4
5.0,4
6.0,8
10.0,3
5.0,4
0.0,0
5.0,4
10.0,3
6.0,8
12.0,5
9.0,6
18.0,1
0.0,0
0.0,0
10.0,3
0.0,0
15.0,2
0.0,0
0.0,0
20.0,7
12.0,5
10.0,3
5.0,4
10.0,3
20.0,7
6.0,8
0.0,0
9.0,6
5.0,4
12.0,5
15.0,2
15.0,2
15.0,2
9.0,6
5.0,4
18.0,1
0.0,0
0.0,0
8.0,9
15.0,2
0.0,0
8.0,9
8.0,9
0.0,0
20.0,7
6.0,8
18.0,1
0.0,0
12.0,5
0.0,0
20.0,7
