Proposer,prompt_idx
33.0,2
50.0,3
50.0,3
33.0,2
50.0,3
45.0,4
50.0,3
75.0,18
40.0,8
50.0,3
33.0,2
50.0,3
30.0,1
1.0,15
15.0,32
50.0,3
54.0,11
53.0,13
48.0,25
5.0,28
33.0,2
50.0,3
53.0,13
53.0,13
50.0,3
50.0,3
40.0,8
1.0,15
50.0,3
50.0,3
50.0,3
70.0,29
57.0,17
54.0,11
29.0,5
54.0,11
50.0,3
75.0,18
50.0,3
50.0,35
100.0,0
100.0,0
40.0,12
53.0,13
50.0,3
33.0,2
20.0,24
50.0,3
20.0,24
50.0,3
57.0,17
33.0,2
30.0,1
100.0,0
30.0,1
40.0,12
30.0,1
49.0,39
50.0,3
100.0,0
50.0,3
33.0,2
33.0,2
40.0,12
33.0,2
45.0,4
48.0,25
40.0,10
50.0,3
30.0,1
33.0,2
50.0,3
33.0,2
30.0,1
20.0,24
50.0,3
50.0,3
33.0,2
50.0,3
33.0,2
48.0,25
40.0,12
100.0,0
50.0,3
44.0,20
33.0,2
100.0,0
1.0,15
33.0,2
50.0,3
50.0,3
40.0,12
50.0,3
30.0,1
33.0,2
50.0,3
33.0,2
75.0,18
44.0,20
50.0,3
54.0,11
50.0,3
33.0,2
45.0,4
50.0,3
30.0,1
100.0,0
50.0,3
70.0,29
50.0,3
45.0,4
50.0,3
50.0,3
20.0,24
30.0,1
54.0,11
54.0,11
100.0,0
50.0,3
57.0,17
50.0,3
54.0,11
50.0,3
50.0,3
60.0,14
40.0,12
30.0,1
1.0,15
50.0,3
50.0,3
33.0,2
1.0,15
50.0,3
70.0,29
75.0,18
50.0,3
50.0,3
33.0,2
100.0,0
40.0,12
50.0,3
57.0,17
20.0,24
33.0,2
33.0,2
29.0,5
45.0,4
50.0,3
20.0,24
54.0,11
33.0,2
33.0,2
33.0,2
60.0,14
33.0,2
100.0,0
1.0,15
48.0,25
50.0,3
50.0,3
60.0,14
40.0,8
45.0,4
33.0,2
50.0,3
50.0,3
100.0,0
1.0,15
50.0,3
50.0,3
50.0,3
29.0,5
50.0,3
50.0,3
1.0,15
54.0,11
33.0,2
54.0,11
30.0,1
45.0,4
30.0,1
33.0,2
50.0,3
44.0,20
57.0,17
57.0,17
33.0,2
100.0,0
45.0,4
1.0,15
33.0,2
50.0,3
50.0,3
54.0,11
33.0,2
55.0,34
1.0,15
54.0,11
33.0,2
100.0,0
53.0,13
48.0,25
30.0,1
48.0,25
75.0,18
50.0,3
50.0,3
50.0,3
54.0,11
54.0,11
50.0,3
30.0,1
53.0,13
33.0,2
50.0,3
33.0,2
50.0,3
20.0,24
45.0,4
30.0,1
40.0,12
50.0,3
50.0,3
50.0,3
46.0,50
1.0,15
44.0,20
45.0,4
50.0,3
1.0,15
40.0,12
33.0,2
5.0,28
43.0,23
45.0,4
100.0,0
100.0,0
33.0,2
33.0,2
50.0,3
33.0,2
40.0,12
45.0,4
30.0,1
33.0,2
49.0,46
57.0,17
50.0,3
50.0,3
70.0,29
100.0,0
20.0,24
50.0,3
33.0,2
33.0,2
48.0,25
40.0,8
33.0,2
33.0,2
30.0,1
33.0,2
33.0,2
40.0,12
100.0,0
50.0,3
30.0,1
33.0,2
30.0,1
50.0,3
33.0,2
54.0,11
60.0,14
33.0,2
45.0,4
33.0,2
20.0,24
48.0,25
30.0,1
40.0,12
50.0,3
33.0,2
33.0,2
50.0,3
50.0,3
48.0,25
50.0,3
33.0,2
54.0,11
75.0,18
50.0,3
75.0,18
1.0,15
33.0,2
48.0,25
1.0,15
30.0,1
1.0,15
2.0,51
1.0,15
50.0,3
50.0,3
50.0,3
75.0,18
1.0,15
1.0,15
33.0,2
50.0,35
54.0,11
50.0,35
45.0,4
50.0,3
48.0,25
60.0,14
20.0,24
45.0,4
44.0,20
40.0,12
50.0,3
75.0,18
50.0,3
54.0,11
50.0,3
30.0,1
100.0,0
33.0,2
20.0,24
50.0,3
30.0,1
100.0,0
50.0,3
50.0,3
81.0,45
33.0,2
50.0,3
54.0,11
50.0,3
45.0,4
100.0,0
5.0,28
33.0,2
1.0,15
50.0,3
47.0,19
33.0,2
33.0,2
50.0,3
50.0,3
54.0,11
40.0,12
50.0,3
50.0,3
45.0,4
53.0,13
50.0,3
45.0,4
60.0,14
48.0,25
50.0,3
45.0,4
33.0,2
45.0,4
44.0,20
54.0,11
50.0,3
50.0,3
54.0,11
30.0,1
50.0,3
50.0,3
30.0,1
20.0,24
50.0,3
50.0,3
40.0,10
48.0,25
15.0,32
50.0,3
40.0,8
20.0,24
5.0,28
33.0,2
100.0,0
45.0,4
53.0,13
30.0,1
100.0,0
50.0,3
50.0,3
57.0,17
50.0,3
30.0,1
40.0,12
1.0,15
50.0,3
30.0,1
50.0,3
40.0,12
20.0,24
30.0,1
33.0,2
30.0,1
50.0,3
33.0,2
44.0,20
33.0,2
1.0,15
40.0,12
5.0,28
50.0,3
48.0,25
54.0,11
44.0,20
50.0,3
57.0,17
54.0,11
1.0,15
70.0,29
50.0,3
50.0,3
50.0,3
100.0,0
45.0,4
75.0,18
47.0,19
100.0,0
53.0,13
33.0,2
50.0,3
30.0,1
54.0,11
50.0,3
50.0,3
44.0,20
33.0,2
20.0,24
50.0,3
50.0,3
54.0,11
57.0,17
33.0,2
29.0,5
50.0,3
50.0,3
50.0,3
50.0,3
50.0,55
100.0,0
99.0,36
40.0,12
1.0,15
50.0,3
48.0,25
1.0,15
50.0,3
50.0,3
100.0,0
30.0,1
50.0,3
50.0,3
49.0,39
33.0,2
50.0,3
33.0,2
30.0,1
54.0,11
54.0,11
47.0,19
50.0,3
20.0,24
54.0,11
50.0,3
50.0,3
40.0,12
50.0,3
40.0,12
50.0,3
30.0,1
100.0,0
75.0,18
33.0,2
40.0,12
100.0,0
40.0,8
50.0,3
50.0,3
50.0,3
1.0,15
1.0,15
40.0,12
100.0,0
50.0,3
50.0,3
50.0,3
53.0,13
20.0,24
40.0,8
53.0,13
50.0,3
33.0,2
50.0,3
57.0,17
33.0,2
54.0,11
50.0,3
50.0,3
54.0,11
60.0,14
20.0,24
50.0,3
100.0,0
5.0,28
57.0,17
30.0,1
1.0,15
30.0,1
40.0,12
100.0,0
54.0,11
30.0,1
50.0,3
50.0,3
53.0,13
50.0,3
30.0,1
33.0,2
50.0,3
57.0,17
100.0,0
55.0,34
30.0,1
55.0,34
48.0,25
30.0,1
50.0,3
50.0,3
20.0,24
33.0,2
57.0,17
50.0,3
50.0,3
50.0,3
30.0,1
48.0,25
33.0,2
53.0,13
50.0,3
54.0,11
1.0,15
53.0,13
33.0,2
2.0,51
20.0,24
5.0,28
30.0,1
100.0,0
54.0,11
57.0,17
57.0,17
33.0,2
20.0,24
50.0,3
50.0,3
57.0,17
33.0,2
100.0,0
55.0,34
45.0,4
100.0,0
30.0,1
30.0,1
50.0,3
48.0,25
50.0,3
50.0,3
57.0,17
50.0,3
1.0,15
40.0,12
54.0,11
44.0,20
29.0,5
54.0,11
33.0,2
75.0,18
50.0,3
57.0,17
45.0,4
30.0,1
1.0,15
33.0,2
57.0,17
5.0,28
20.0,24
57.0,17
57.0,17
44.0,20
50.0,3
54.0,11
44.0,20
50.0,3
1.0,15
33.0,2
33.0,2
50.0,3
1.0,15
33.0,2
100.0,0
50.0,3
100.0,0
5.0,28
50.0,3
100.0,0
33.0,2
50.0,3
60.0,14
50.0,3
30.0,1
57.0,17
75.0,18
50.0,3
50.0,3
20.0,24
30.0,1
50.0,3
50.0,3
50.0,3
100.0,0
1.0,15
48.0,25
33.0,2
33.0,2
30.0,1
1.0,15
30.0,1
44.0,20
57.0,17
54.0,11
70.0,29
33.0,2
50.0,3
50.0,3
50.0,3
50.0,3
48.0,25
33.0,2
45.0,12
48.0,25
33.0,2
70.0,29
75.0,18
50.0,3
33.0,2
50.0,3
30.0,1
45.0,4
30.0,1
100.0,0
33.0,2
70.0,29
50.0,3
15.0,32
48.0,25
50.0,3
33.0,2
50.0,3
50.0,3
44.0,20
33.0,2
48.0,25
49.0,39
50.0,3
50.0,3
50.0,3
50.0,3
54.0,11
50.0,3
33.0,2
75.0,18
44.0,20
48.0,25
45.0,4
40.0,12
50.0,3
50.0,3
100.0,0
1.0,15
40.0,8
100.0,0
50.0,3
50.0,3
1.0,15
50.0,3
33.0,2
30.0,1
50.0,3
40.0,12
48.0,25
50.0,3
54.0,11
1.0,15
33.0,2
1.0,15
50.0,3
40.0,12
33.0,2
30.0,1
1.0,15
45.0,4
2.0,51
50.0,3
50.0,3
40.0,12
50.0,3
54.0,11
30.0,1
100.0,0
45.0,4
33.0,2
50.0,3
50.0,3
48.0,25
45.0,4
50.0,3
50.0,3
50.0,3
57.0,17
100.0,0
33.0,2
45.0,4
57.0,17
60.0,14
30.0,1
50.0,3
45.0,4
30.0,1
70.0,29
40.0,12
50.0,3
50.0,3
29.0,5
1.0,15
50.0,3
44.0,20
50.0,3
33.0,2
50.0,3
20.0,24
54.0,11
1.0,15
40.0,8
40.0,12
50.0,3
40.0,12
45.0,4
50.0,3
50.0,3
54.0,11
50.0,3
45.0,4
50.0,3
50.0,3
33.0,2
50.0,3
30.0,1
50.0,3
100.0,0
75.0,18
45.0,4
50.0,3
50.0,3
48.0,25
48.0,25
53.0,13
33.0,2
54.0,11
50.0,3
50.0,3
1.0,15
44.0,20
70.0,29
40.0,12
40.0,8
50.0,3
50.0,3
1.0,15
45.0,4
1.0,15
50.0,3
45.0,4
50.0,3
57.0,17
20.0,24
50.0,35
44.0,20
75.0,18
48.0,25
50.0,3
33.0,2
40.0,8
50.0,3
33.0,2
15.0,32
45.0,4
30.0,1
33.0,2
33.0,2
53.0,13
50.0,3
50.0,3
40.0,12
53.0,13
33.0,2
50.0,3
33.0,2
70.0,29
100.0,0
33.0,2
33.0,2
40.0,12
33.0,2
20.0,24
53.0,13
50.0,3
60.0,14
40.0,12
33.0,2
30.0,1
30.0,1
30.0,1
45.0,4
33.0,2
45.0,4
29.0,5
48.0,25
2.0,51
33.0,2
33.0,2
1.0,15
45.0,4
50.0,3
40.0,12
33.0,2
50.0,3
100.0,0
20.0,24
49.0,39
50.0,3
50.0,3
45.0,4
50.0,3
33.0,2
50.0,3
57.0,17
1.0,15
33.0,2
1.0,15
54.0,11
45.0,4
54.0,11
50.0,3
100.0,0
50.0,3
50.0,3
47.0,19
50.0,3
5.0,28
20.0,24
1.0,15
48.0,25
5.0,28
33.0,2
44.0,20
50.0,3
33.0,2
15.0,32
50.0,3
5.0,28
50.0,3
50.0,3
33.0,2
1.0,15
100.0,0
33.0,2
48.0,25
48.0,25
53.0,13
20.0,24
50.0,3
20.0,24
20.0,24
1.0,15
33.0,2
54.0,11
50.0,3
50.0,3
40.0,12
33.0,2
57.0,17
5.0,28
30.0,1
54.0,11
50.0,3
20.0,24
50.0,3
50.0,3
40.0,12
20.0,24
100.0,0
20.0,24
50.0,3
50.0,3
48.0,25
45.0,4
53.0,13
50.0,3
33.0,2
33.0,2
1.0,15
100.0,0
53.0,13
33.0,2
5.0,28
1.0,15
40.0,12
33.0,2
33.0,2
30.0,1
30.0,1
33.0,2
50.0,3
1.0,15
5.0,28
40.0,12
45.0,4
1.0,15
33.0,2
50.0,35
29.0,5
100.0,0
30.0,1
50.0,3
40.0,12
70.0,29
70.0,29
50.0,3
100.0,0
45.0,4
50.0,3
30.0,1
33.0,2
50.0,3
45.0,4
50.0,3
33.0,2
53.0,13
29.0,5
33.0,2
100.0,0
100.0,0
50.0,3
1.0,15
33.0,2
57.0,17
48.0,25
33.0,2
33.0,2
30.0,1
53.0,13
30.0,1
50.0,3
54.0,11
44.0,20
50.0,3
50.0,3
40.0,12
45.0,4
33.0,2
50.0,3
100.0,0
1.0,15
15.0,32
50.0,3
50.0,3
44.0,20
45.0,4
54.0,11
30.0,1
50.0,3
30.0,1
29.0,5
30.0,1
50.0,3
20.0,24
20.0,24
50.0,3
45.0,4
53.0,13
33.0,2
44.0,20
54.0,11
