Responder,prompt_idx
50.0,7
40.0,35
0.01,3
49.0,23
10.0,38
0.01,3
50.0,7
25.0,9
20.0,45
0.01,3
50.0,7
45.0,6
47.0,36
50.0,7
60.0,27
53.0,41
50.0,7
40.0,35
42.0,4
0.01,3
33.0,37
0.01,3
50.0,7
50.0,7
50.0,7
36.0,44
35.0,0
31.0,1
50.0,7
1.0,35
49.0,23
33.0,37
50.0,7
50.0,7
5.0,15
47.0,36
20.0,45
35.0,0
48.0,12
0.01,3
42.0,4
38.0,17
60.0,27
42.0,4
31.0,1
25.0,9
30.0,31
25.0,9
8.0,39
53.0,41
40.0,35
36.0,2
50.0,7
57.0,46
50.0,7
40.0,35
25.0,9
50.0,7
25.0,9
10.0,38
5.0,15
1.0,35
15.0,48
43.0,13
20.0,45
47.0,36
36.0,2
18.0,26
48.0,12
47.0,36
55.0,11
40.0,35
50.0,7
25.0,9
0.01,3
50.0,7
49.0,23
18.0,22
5.0,15
42.0,4
0.01,3
1.0,35
40.0,35
27.0,47
25.0,9
50.0,7
25.0,9
49.0,23
50.0,7
50.0,7
0.01,3
48.0,12
48.0,12
30.0,31
48.0,12
100.0,21
38.0,17
50.0,7
30.0,31
38.0,17
60.0,27
13.0,43
47.0,36
0.01,3
31.0,24
50.0,7
38.0,17
1.0,3
50.0,7
42.0,4
0.01,3
50.0,7
49.0,23
0.0,8
50.0,7
50.0,7
40.0,35
49.0,23
50.0,7
40.0,35
0.01,3
43.0,13
1.0,3
35.0,0
25.0,9
0.01,3
0.01,3
38.0,17
0.0,8
38.0,17
0.0,8
50.0,7
50.0,7
36.0,44
40.0,35
35.0,0
0.0,8
47.0,36
0.0,8
53.0,41
30.0,31
50.0,7
100.0,21
30.0,31
50.0,7
49.0,23
57.0,46
13.0,43
38.0,17
31.0,24
0.01,3
0.01,3
45.0,6
45.0,6
5.0,15
13.0,43
13.0,43
20.0,45
40.0,35
31.0,1
50.0,7
13.0,43
0.01,3
40.0,35
40.0,35
47.0,36
90.0,32
50.0,7
60.0,27
42.0,4
18.0,26
50.0,7
50.0,7
50.0,7
48.0,12
50.0,7
38.0,17
47.0,36
50.0,7
0.01,3
38.0,17
49.0,23
1.0,35
49.0,23
38.0,17
53.0,41
50.0,7
30.0,31
38.0,17
25.0,9
1.0,3
53.0,41
20.0,45
50.0,7
50.0,7
38.0,17
0.0,8
49.0,23
60.0,27
47.0,36
27.0,47
18.0,22
60.0,27
43.0,13
47.0,36
10.0,38
48.0,12
40.0,35
0.01,3
20.0,45
0.01,3
10.0,38
50.0,7
5.0,15
1.0,35
0.0,8
40.0,35
45.0,6
47.0,36
90.0,32
35.0,0
27.0,47
0.01,3
49.0,23
38.0,17
0.01,3
48.0,12
40.0,35
0.0,8
0.0,8
50.0,7
40.0,35
0.0,8
100.0,21
0.01,3
50.0,7
25.0,9
50.0,7
0.01,3
0.01,3
0.0,8
50.0,7
45.0,6
25.0,9
30.0,31
65.0,16
20.0,45
0.01,3
25.0,9
40.0,35
50.0,7
50.0,7
31.0,1
49.0,23
18.0,26
47.0,36
42.0,4
40.0,35
38.0,17
47.0,36
0.0,8
50.0,7
50.0,7
49.0,23
49.0,23
1.0,35
80.0,28
49.0,23
18.0,22
38.0,17
80.0,28
50.0,7
20.0,45
25.0,9
0.0,8
40.0,35
42.0,4
0.0,8
10.0,38
31.0,1
27.0,47
0.0,8
20.0,45
45.0,6
13.0,43
25.0,9
42.0,4
18.0,26
40.0,35
0.01,3
36.0,2
42.0,4
100.0,21
38.0,17
20.0,45
5.0,15
5.0,15
50.0,7
50.0,7
40.0,35
32.0,18
40.0,35
50.0,7
57.0,46
0.0,8
18.0,26
0.01,3
0.0,8
18.0,22
55.0,42
13.0,10
49.0,23
40.0,35
40.0,35
45.0,6
47.0,36
50.0,7
42.0,4
1.0,35
40.0,35
50.0,7
25.0,9
48.0,12
36.0,2
36.0,44
48.0,12
25.0,9
50.0,7
100.0,21
38.0,17
0.0,8
1.0,35
20.0,45
48.0,12
20.0,45
27.0,47
50.0,7
50.0,7
54.0,25
40.0,35
60.0,27
47.0,36
30.0,31
42.0,4
42.0,4
18.0,22
31.0,1
18.0,22
18.0,22
0.01,3
30.0,31
47.0,36
0.01,3
100.0,21
48.0,12
42.0,4
48.0,12
5.0,15
18.0,22
38.0,17
35.0,0
0.01,3
48.0,12
0.0,8
43.0,13
25.0,9
47.0,36
31.0,24
48.0,12
21.0,20
31.0,1
50.0,7
42.0,4
47.0,36
54.0,19
0.0,8
30.0,31
50.0,7
25.0,9
49.0,23
50.0,7
42.0,4
25.0,9
0.0,8
25.0,9
53.0,41
32.0,18
25.0,9
48.0,12
40.0,35
0.01,3
50.0,7
20.0,45
50.0,7
47.0,36
20.0,45
50.0,7
18.0,26
53.0,41
47.0,36
35.0,0
36.0,44
38.0,17
48.0,12
0.01,3
90.0,32
50.0,7
40.0,35
53.0,41
49.0,23
